train_loss,valid_loss,best_valid_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1.0427860021591187,0.8592966794967651,0.8592966794967651,1,1784561878,,False,1,ea951f84,2026-07-20_10-37-58,2.1093010902404785,2.1093010902404785,23828,Rohan-Laptop,172.22.123.235,2.1093010902404785,1
0.8397883296012878,0.7422245740890503,0.7422245740890503,2,1784561879,,False,2,ea951f84,2026-07-20_10-37-59,0.903766393661499,3.0130674839019775,23828,Rohan-Laptop,172.22.123.235,3.0130674839019775,2
0.7515570402145386,0.6537090539932251,0.6537090539932251,3,1784561880,,False,3,ea951f84,2026-07-20_10-38-00,0.9403564929962158,3.9534239768981934,23828,Rohan-Laptop,172.22.123.235,3.9534239768981934,3
0.6032411158084869,0.5311884880065918,0.5311884880065918,4,1784561881,,False,4,ea951f84,2026-07-20_10-38-01,0.951521635055542,4.904945611953735,23828,Rohan-Laptop,172.22.123.235,4.904945611953735,4
0.5292204022407532,0.515258252620697,0.515258252620697,5,1784561882,,False,5,ea951f84,2026-07-20_10-38-02,0.9273791313171387,5.832324743270874,23828,Rohan-Laptop,172.22.123.235,5.832324743270874,5
0.48404772877693175,0.5185851454734802,0.515258252620697,6,1784561882,,False,6,ea951f84,2026-07-20_10-38-02,0.848656177520752,6.680980920791626,23828,Rohan-Laptop,172.22.123.235,6.680980920791626,6
0.471655809879303,0.49727216362953186,0.49727216362953186,7,1784561883,,False,7,ea951f84,2026-07-20_10-38-03,0.8758397102355957,7.556820631027222,23828,Rohan-Laptop,172.22.123.235,7.556820631027222,7
0.4489592969417572,0.48526453971862793,0.48526453971862793,8,1784561884,,False,8,ea951f84,2026-07-20_10-38-04,0.9001913070678711,8.457011938095093,23828,Rohan-Laptop,172.22.123.235,8.457011938095093,8
0.4257680058479309,0.46422630548477173,0.46422630548477173,9,1784561885,,False,9,ea951f84,2026-07-20_10-38-05,0.9214997291564941,9.378511667251587,23828,Rohan-Laptop,172.22.123.235,9.378511667251587,9
0.4072693645954132,0.44552114605903625,0.44552114605903625,10,1784561886,,True,10,ea951f84,2026-07-20_10-38-06,0.9361867904663086,10.314698457717896,23828,Rohan-Laptop,172.22.123.235,10.314698457717896,10
