train_loss,valid_loss,best_valid_loss,epoch,branch_hidden_layers,trunk_hidden_layers,n_params,n_params_branch,n_params_trunk,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.8039464592933655,0.7778584361076355,0.7778584361076355,1,2,0,295468,295468,0,1784568304,,False,1,e049884f,2026-07-20_12-25-04,3.0610616207122803,3.0610616207122803,99256,Rohan-Laptop,172.22.123.235,3.0610616207122803,1
0.788971996307373,0.7632871270179749,0.7632871270179749,2,2,0,295468,295468,0,1784568306,,False,2,e049884f,2026-07-20_12-25-06,1.281712532043457,4.342774152755737,99256,Rohan-Laptop,172.22.123.235,4.342774152755737,2
0.771096694469452,0.744681715965271,0.744681715965271,3,2,0,295468,295468,0,1784568307,,False,3,e049884f,2026-07-20_12-25-07,1.256303071975708,5.599077224731445,99256,Rohan-Laptop,172.22.123.235,5.599077224731445,3
0.7498544573783874,0.721568763256073,0.721568763256073,4,2,0,295468,295468,0,1784568308,,False,4,e049884f,2026-07-20_12-25-08,1.2184350490570068,6.817512273788452,99256,Rohan-Laptop,172.22.123.235,6.817512273788452,4
0.7225794315338134,0.6964535713195801,0.6964535713195801,5,2,0,295468,295468,0,1784568309,,False,5,e049884f,2026-07-20_12-25-09,1.3627345561981201,8.180246829986572,99256,Rohan-Laptop,172.22.123.235,8.180246829986572,5
0.6896855235099792,0.6675992012023926,0.6675992012023926,6,2,0,295468,295468,0,1784568311,,False,6,e049884f,2026-07-20_12-25-11,1.3044981956481934,9.484745025634766,99256,Rohan-Laptop,172.22.123.235,9.484745025634766,6
0.6528333783149719,0.6359988451004028,0.6359988451004028,7,2,0,295468,295468,0,1784568312,,False,7,e049884f,2026-07-20_12-25-12,1.392460823059082,10.877205848693848,99256,Rohan-Laptop,172.22.123.235,10.877205848693848,7
0.6140570878982544,0.6069024801254272,0.6069024801254272,8,2,0,295468,295468,0,1784568313,,False,8,e049884f,2026-07-20_12-25-13,1.364680528640747,12.241886377334595,99256,Rohan-Laptop,172.22.123.235,12.241886377334595,8
0.5768332242965698,0.5817835927009583,0.5817835927009583,9,2,0,295468,295468,0,1784568315,,False,9,e049884f,2026-07-20_12-25-15,1.2669322490692139,13.508818626403809,99256,Rohan-Laptop,172.22.123.235,13.508818626403809,9
0.5475926280021668,0.566116213798523,0.566116213798523,10,2,0,295468,295468,0,1784568316,,False,10,e049884f,2026-07-20_12-25-16,1.1354751586914062,14.644293785095215,99256,Rohan-Laptop,172.22.123.235,14.644293785095215,10
