train_loss,valid_loss,best_valid_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.8448708057403564,0.8685669898986816,0.8685669898986816,1,1784138697,,False,1,ddd4c529,2026-07-15_13-04-57,17.170701265335083,17.170701265335083,77435,Rohan-Laptop,172.22.123.235,17.170701265335083,1
0.8557046055793762,0.8342154026031494,0.8342154026031494,2,1784138697,,False,2,ddd4c529,2026-07-15_13-04-57,0.21274113655090332,17.383442401885986,77435,Rohan-Laptop,172.22.123.235,17.383442401885986,2
0.7745437622070312,0.8129736185073853,0.8129736185073853,3,1784138698,,False,3,ddd4c529,2026-07-15_13-04-58,0.21782755851745605,17.601269960403442,77435,Rohan-Laptop,172.22.123.235,17.601269960403442,3
0.7739853858947754,0.7924045324325562,0.7924045324325562,4,1784138698,,False,4,ddd4c529,2026-07-15_13-04-58,0.21457171440124512,17.815841674804688,77435,Rohan-Laptop,172.22.123.235,17.815841674804688,4
0.7682925462722778,0.7663721442222595,0.7663721442222595,5,1784138698,,False,5,ddd4c529,2026-07-15_13-04-58,0.22572803497314453,18.041569709777832,77435,Rohan-Laptop,172.22.123.235,18.041569709777832,5
0.7384163737297058,0.7325590252876282,0.7325590252876282,6,1784138698,,False,6,ddd4c529,2026-07-15_13-04-58,0.23072457313537598,18.272294282913208,77435,Rohan-Laptop,172.22.123.235,18.272294282913208,6
0.6428762674331665,0.6937192678451538,0.6937192678451538,7,1784138699,,False,7,ddd4c529,2026-07-15_13-04-59,0.20760059356689453,18.479894876480103,77435,Rohan-Laptop,172.22.123.235,18.479894876480103,7
0.6762417554855347,0.6554497480392456,0.6554497480392456,8,1784138699,,False,8,ddd4c529,2026-07-15_13-04-59,0.18423080444335938,18.664125680923462,77435,Rohan-Laptop,172.22.123.235,18.664125680923462,8
0.6351799964904785,0.62254399061203,0.62254399061203,9,1784138699,,False,9,ddd4c529,2026-07-15_13-04-59,0.17894291877746582,18.843068599700928,77435,Rohan-Laptop,172.22.123.235,18.843068599700928,9
0.5937633514404297,0.5989601612091064,0.5989601612091064,10,1784138699,,True,10,ddd4c529,2026-07-15_13-04-59,0.18392252922058105,19.02699112892151,77435,Rohan-Laptop,172.22.123.235,19.02699112892151,10
