train_loss,valid_loss,best_valid_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.763391375541687,0.7667539119720459,0.7667539119720459,1,1784138714,,False,1,44a782a1,2026-07-15_13-05-14,7.9386820793151855,7.9386820793151855,78402,Rohan-Laptop,172.22.123.235,7.9386820793151855,1
0.7415384650230408,0.702413022518158,0.702413022518158,2,1784138714,,False,2,44a782a1,2026-07-15_13-05-14,0.2567145824432373,8.195396661758423,78402,Rohan-Laptop,172.22.123.235,8.195396661758423,2
0.6526572108268738,0.652161717414856,0.652161717414856,3,1784138714,,False,3,44a782a1,2026-07-15_13-05-14,0.18342828750610352,8.378824949264526,78402,Rohan-Laptop,172.22.123.235,8.378824949264526,3
0.654551088809967,0.6194921135902405,0.6194921135902405,4,1784138714,,False,4,44a782a1,2026-07-15_13-05-14,0.21997308731079102,8.598798036575317,78402,Rohan-Laptop,172.22.123.235,8.598798036575317,4
0.6830658912658691,0.6048805713653564,0.6048805713653564,5,1784138715,,False,5,44a782a1,2026-07-15_13-05-15,0.22298121452331543,8.821779251098633,78402,Rohan-Laptop,172.22.123.235,8.821779251098633,5
0.6405324935913086,0.5952060222625732,0.5952060222625732,6,1784138715,,False,6,44a782a1,2026-07-15_13-05-15,0.23331713676452637,9.05509638786316,78402,Rohan-Laptop,172.22.123.235,9.05509638786316,6
0.5735379457473755,0.587441623210907,0.587441623210907,7,1784138715,,False,7,44a782a1,2026-07-15_13-05-15,0.21877527236938477,9.273871660232544,78402,Rohan-Laptop,172.22.123.235,9.273871660232544,7
0.6563546061515808,0.5822938680648804,0.5822938680648804,8,1784138715,,False,8,44a782a1,2026-07-15_13-05-15,0.2066946029663086,9.480566263198853,78402,Rohan-Laptop,172.22.123.235,9.480566263198853,8
0.6148678064346313,0.579527735710144,0.579527735710144,9,1784138716,,False,9,44a782a1,2026-07-15_13-05-16,0.24411630630493164,9.724682569503784,78402,Rohan-Laptop,172.22.123.235,9.724682569503784,9
0.5769246816635132,0.5758035778999329,0.5758035778999329,10,1784138716,,True,10,44a782a1,2026-07-15_13-05-16,0.2512478828430176,9.975930452346802,78402,Rohan-Laptop,172.22.123.235,9.975930452346802,10
