train_loss,valid_loss,best_valid_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.827255129814148,0.8382601737976074,0.8382601737976074,1,1784138639,,False,1,3016674d,2026-07-15_13-03-59,28.435234546661377,28.435234546661377,76149,Rohan-Laptop,172.22.123.235,28.435234546661377,1
0.8053479194641113,0.823670506477356,0.823670506477356,2,1784138639,,False,2,3016674d,2026-07-15_13-03-59,0.24331378936767578,28.678548336029053,76149,Rohan-Laptop,172.22.123.235,28.678548336029053,2
0.8290050625801086,0.803551435470581,0.803551435470581,3,1784138639,,False,3,3016674d,2026-07-15_13-03-59,0.22064781188964844,28.8991961479187,76149,Rohan-Laptop,172.22.123.235,28.8991961479187,3
0.7290576100349426,0.7777119278907776,0.7777119278907776,4,1784138640,,False,4,3016674d,2026-07-15_13-04-00,0.3002007007598877,29.19939684867859,76149,Rohan-Laptop,172.22.123.235,29.19939684867859,4
0.805839478969574,0.745854377746582,0.745854377746582,5,1784138640,,False,5,3016674d,2026-07-15_13-04-00,0.2006537914276123,29.4000506401062,76149,Rohan-Laptop,172.22.123.235,29.4000506401062,5
0.7401028275489807,0.7087659239768982,0.7087659239768982,6,1784138640,,False,6,3016674d,2026-07-15_13-04-00,0.18275165557861328,29.582802295684814,76149,Rohan-Laptop,172.22.123.235,29.582802295684814,6
0.6515117287635803,0.6678787469863892,0.6678787469863892,7,1784138640,,False,7,3016674d,2026-07-15_13-04-00,0.19292712211608887,29.775729417800903,76149,Rohan-Laptop,172.22.123.235,29.775729417800903,7
0.6820474863052368,0.6284884810447693,0.6284884810447693,8,1784138640,,False,8,3016674d,2026-07-15_13-04-00,0.20700550079345703,29.98273491859436,76149,Rohan-Laptop,172.22.123.235,29.98273491859436,8
0.5529638528823853,0.5945168137550354,0.5945168137550354,9,1784138641,,False,9,3016674d,2026-07-15_13-04-01,0.19458627700805664,30.177321195602417,76149,Rohan-Laptop,172.22.123.235,30.177321195602417,9
0.589340329170227,0.5728102922439575,0.5728102922439575,10,1784138641,,True,10,3016674d,2026-07-15_13-04-01,0.2060987949371338,30.38341999053955,76149,Rohan-Laptop,172.22.123.235,30.38341999053955,10
