train_loss,valid_loss,best_valid_loss,epoch,n_params,n_params_branch,n_params_trunk,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.990301537513733,0.9665877223014832,0.9665877223014832,1,64749,45904,18832,1784563983,,False,1,9f4331d6,2026-07-20_11-13-03,2.4230194091796875,2.4230194091796875,44756,Rohan-Laptop,172.22.123.235,2.4230194091796875,1
0.9351353406906128,0.8730714917182922,0.8730714917182922,2,64749,45904,18832,1784563984,,False,2,9f4331d6,2026-07-20_11-13-04,0.9200096130371094,3.343029022216797,44756,Rohan-Laptop,172.22.123.235,3.343029022216797,2
0.8379595637321472,0.7846280336380005,0.7846280336380005,3,64749,45904,18832,1784563985,,False,3,9f4331d6,2026-07-20_11-13-05,0.9406280517578125,4.283657073974609,44756,Rohan-Laptop,172.22.123.235,4.283657073974609,3
0.7700910687446594,0.7258667349815369,0.7258667349815369,4,64749,45904,18832,1784563986,,False,4,9f4331d6,2026-07-20_11-13-06,0.9218833446502686,5.205540418624878,44756,Rohan-Laptop,172.22.123.235,5.205540418624878,4
0.707395052909851,0.7032970786094666,0.7032970786094666,5,64749,45904,18832,1784563987,,False,5,9f4331d6,2026-07-20_11-13-07,0.917513370513916,6.123053789138794,44756,Rohan-Laptop,172.22.123.235,6.123053789138794,5
0.6702888131141662,0.6570538878440857,0.6570538878440857,6,64749,45904,18832,1784563988,,False,6,9f4331d6,2026-07-20_11-13-08,1.0023648738861084,7.125418663024902,44756,Rohan-Laptop,172.22.123.235,7.125418663024902,6
0.6357851266860962,0.6384498476982117,0.6384498476982117,7,64749,45904,18832,1784563989,,False,7,9f4331d6,2026-07-20_11-13-09,1.066176414489746,8.191595077514648,44756,Rohan-Laptop,172.22.123.235,8.191595077514648,7
0.6128527164459229,0.6147661805152893,0.6147661805152893,8,64749,45904,18832,1784563990,,False,8,9f4331d6,2026-07-20_11-13-10,1.0814082622528076,9.273003339767456,44756,Rohan-Laptop,172.22.123.235,9.273003339767456,8
0.5935146570205688,0.6088243722915649,0.6088243722915649,9,64749,45904,18832,1784563991,,False,9,9f4331d6,2026-07-20_11-13-11,1.0094130039215088,10.282416343688965,44756,Rohan-Laptop,172.22.123.235,10.282416343688965,9
0.576954698562622,0.5881265997886658,0.5881265997886658,10,64749,45904,18832,1784563992,,False,10,9f4331d6,2026-07-20_11-13-12,0.9996061325073242,11.282022476196289,44756,Rohan-Laptop,172.22.123.235,11.282022476196289,10
0.562446117401123,0.573380172252655,0.573380172252655,11,64749,45904,18832,1784563993,,False,11,9f4331d6,2026-07-20_11-13-13,0.9843158721923828,12.266338348388672,44756,Rohan-Laptop,172.22.123.235,12.266338348388672,11
0.5512871742248535,0.566088855266571,0.566088855266571,12,64749,45904,18832,1784563994,,False,12,9f4331d6,2026-07-20_11-13-14,0.950559139251709,13.21689748764038,44756,Rohan-Laptop,172.22.123.235,13.21689748764038,12
0.5379066586494445,0.5666910409927368,0.566088855266571,13,64749,45904,18832,1784563995,,False,13,9f4331d6,2026-07-20_11-13-15,1.0014533996582031,14.218350887298584,44756,Rohan-Laptop,172.22.123.235,14.218350887298584,13
0.5346352219581604,0.5451539754867554,0.5451539754867554,14,64749,45904,18832,1784563996,,False,14,9f4331d6,2026-07-20_11-13-16,1.0356733798980713,15.254024267196655,44756,Rohan-Laptop,172.22.123.235,15.254024267196655,14
0.5203173875808715,0.5413174033164978,0.5413174033164978,15,64749,45904,18832,1784563997,,True,15,9f4331d6,2026-07-20_11-13-17,1.0088095664978027,16.262833833694458,44756,Rohan-Laptop,172.22.123.235,16.262833833694458,15
