train_loss,valid_loss,best_valid_loss,epoch,n_params,n_params_branch,n_params_trunk,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.884241259098053,0.7371117115020752,0.7371117115020752,1,766413,486304,280096,1784567935,,False,1,61018cae,2026-07-20_12-18-55,2.4220077991485596,2.4220077991485596,92058,Rohan-Laptop,172.22.123.235,2.4220077991485596,1
0.700775945186615,0.6705223321914673,0.6705223321914673,2,766413,486304,280096,1784567936,,False,2,61018cae,2026-07-20_12-18-56,0.9599330425262451,3.3819408416748047,92058,Rohan-Laptop,172.22.123.235,3.3819408416748047,2
0.6450747370719909,0.6419721126556397,0.6419721126556397,3,766413,486304,280096,1784567937,,False,3,61018cae,2026-07-20_12-18-57,0.9636731147766113,4.345613956451416,92058,Rohan-Laptop,172.22.123.235,4.345613956451416,3
0.6202224552631378,0.612061882019043,0.612061882019043,4,766413,486304,280096,1784567938,,False,4,61018cae,2026-07-20_12-18-58,0.9653317928314209,5.310945749282837,92058,Rohan-Laptop,172.22.123.235,5.310945749282837,4
0.5982796549797058,0.5800073385238648,0.5800073385238648,5,766413,486304,280096,1784567939,,False,5,61018cae,2026-07-20_12-18-59,1.1985552310943604,6.509500980377197,92058,Rohan-Laptop,172.22.123.235,6.509500980377197,5
0.5911421358585358,0.5829710245132447,0.5800073385238648,6,766413,486304,280096,1784567940,,False,6,61018cae,2026-07-20_12-19-00,1.083631992340088,7.593132972717285,92058,Rohan-Laptop,172.22.123.235,7.593132972717285,6
0.5823577880859375,0.5725028038024902,0.5725028038024902,7,766413,486304,280096,1784567942,,False,7,61018cae,2026-07-20_12-19-02,1.1523029804229736,8.745435953140259,92058,Rohan-Laptop,172.22.123.235,8.745435953140259,7
0.5621626853942872,0.5394954323768616,0.5394954323768616,8,766413,486304,280096,1784567943,,False,8,61018cae,2026-07-20_12-19-03,1.2252075672149658,9.970643520355225,92058,Rohan-Laptop,172.22.123.235,9.970643520355225,8
0.5314836263656616,0.5094001650810241,0.5094001650810241,9,766413,486304,280096,1784567944,,False,9,61018cae,2026-07-20_12-19-04,1.231109380722046,11.20175290107727,92058,Rohan-Laptop,172.22.123.235,11.20175290107727,9
0.5183556914329529,0.515368503332138,0.5094001650810241,10,766413,486304,280096,1784567945,,False,10,61018cae,2026-07-20_12-19-05,1.1473307609558105,12.349083662033081,92058,Rohan-Laptop,172.22.123.235,12.349083662033081,10
0.5067612797021865,0.5115166306495667,0.5094001650810241,11,766413,486304,280096,1784567946,,False,11,61018cae,2026-07-20_12-19-06,1.1865251064300537,13.535608768463135,92058,Rohan-Laptop,172.22.123.235,13.535608768463135,11
0.49993825852870943,0.5011521756649018,0.5011521756649018,12,766413,486304,280096,1784567948,,False,12,61018cae,2026-07-20_12-19-08,1.2575938701629639,14.793202638626099,92058,Rohan-Laptop,172.22.123.235,14.793202638626099,12
0.4801033496856689,0.4826201319694519,0.4826201319694519,13,766413,486304,280096,1784567949,,False,13,61018cae,2026-07-20_12-19-09,1.2523424625396729,16.04554510116577,92058,Rohan-Laptop,172.22.123.235,16.04554510116577,13
0.46874055564403533,0.4878808081150055,0.4826201319694519,14,766413,486304,280096,1784567950,,False,14,61018cae,2026-07-20_12-19-10,1.1173319816589355,17.162877082824707,92058,Rohan-Laptop,172.22.123.235,17.162877082824707,14
0.4769886791706085,0.4706920742988586,0.4706920742988586,15,766413,486304,280096,1784567951,,False,15,61018cae,2026-07-20_12-19-11,1.130213975906372,18.29309105873108,92058,Rohan-Laptop,172.22.123.235,18.29309105873108,15
0.4511153191328049,0.45486910343170167,0.45486910343170167,16,766413,486304,280096,1784567952,,False,16,61018cae,2026-07-20_12-19-12,1.121654987335205,19.414746046066284,92058,Rohan-Laptop,172.22.123.235,19.414746046066284,16
0.4462846964597702,0.46574337482452394,0.45486910343170167,17,766413,486304,280096,1784567953,,False,17,61018cae,2026-07-20_12-19-13,1.084794282913208,20.499540328979492,92058,Rohan-Laptop,172.22.123.235,20.499540328979492,17
0.4454311102628708,0.44853727221488954,0.44853727221488954,18,766413,486304,280096,1784567955,,False,18,61018cae,2026-07-20_12-19-15,1.171149492263794,21.670689821243286,92058,Rohan-Laptop,172.22.123.235,21.670689821243286,18
0.4338377296924591,0.4542603611946106,0.44853727221488954,19,766413,486304,280096,1784567956,,False,19,61018cae,2026-07-20_12-19-16,1.1533277034759521,22.82401752471924,92058,Rohan-Laptop,172.22.123.235,22.82401752471924,19
0.4476651459932327,0.4642699360847473,0.44853727221488954,20,766413,486304,280096,1784567957,,False,20,61018cae,2026-07-20_12-19-17,1.1552963256835938,23.979313850402832,92058,Rohan-Laptop,172.22.123.235,23.979313850402832,20
0.43561094999313354,0.4421066343784332,0.4421066343784332,21,766413,486304,280096,1784567958,,False,21,61018cae,2026-07-20_12-19-18,1.103893756866455,25.083207607269287,92058,Rohan-Laptop,172.22.123.235,25.083207607269287,21
0.43237736225128176,0.4404584586620331,0.4404584586620331,22,766413,486304,280096,1784567959,,False,22,61018cae,2026-07-20_12-19-19,1.2118818759918213,26.29508948326111,92058,Rohan-Laptop,172.22.123.235,26.29508948326111,22
0.41635940670967103,0.4291281282901764,0.4291281282901764,23,766413,486304,280096,1784567961,,False,23,61018cae,2026-07-20_12-19-21,1.1535611152648926,27.448650598526,92058,Rohan-Laptop,172.22.123.235,27.448650598526,23
0.4171134322881699,0.41881832480430603,0.41881832480430603,24,766413,486304,280096,1784567962,,False,24,61018cae,2026-07-20_12-19-22,1.1623237133026123,28.610974311828613,92058,Rohan-Laptop,172.22.123.235,28.610974311828613,24
0.4239468157291412,0.43982434272766113,0.41881832480430603,25,766413,486304,280096,1784567963,,False,25,61018cae,2026-07-20_12-19-23,1.1275827884674072,29.73855710029602,92058,Rohan-Laptop,172.22.123.235,29.73855710029602,25
0.41890291273593905,0.4310146331787109,0.41881832480430603,26,766413,486304,280096,1784567964,,False,26,61018cae,2026-07-20_12-19-24,1.238037347793579,30.9765944480896,92058,Rohan-Laptop,172.22.123.235,30.9765944480896,26
0.41277923583984377,0.42224701642990115,0.41881832480430603,27,766413,486304,280096,1784567965,,False,27,61018cae,2026-07-20_12-19-25,1.175734281539917,32.15232872962952,92058,Rohan-Laptop,172.22.123.235,32.15232872962952,27
0.40439027845859526,0.4212962508201599,0.41881832480430603,28,766413,486304,280096,1784567967,,False,28,61018cae,2026-07-20_12-19-27,1.256469488143921,33.40879821777344,92058,Rohan-Laptop,172.22.123.235,33.40879821777344,28
0.4042795717716217,0.40598173141479493,0.40598173141479493,29,766413,486304,280096,1784567968,,False,29,61018cae,2026-07-20_12-19-28,1.4233672618865967,34.832165479660034,92058,Rohan-Laptop,172.22.123.235,34.832165479660034,29
0.39712832272052767,0.4096609890460968,0.40598173141479493,30,766413,486304,280096,1784567969,,True,30,61018cae,2026-07-20_12-19-29,1.3631162643432617,36.195281744003296,92058,Rohan-Laptop,172.22.123.235,36.195281744003296,30
