z, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, CH4_1, CO_1, O2_1, CO2_1, H2_1, H2O_1, AR_1, H(s)_1, O(s)_1, CH4(s)_1, H2O(s)_1, CO2(s)_1, CO(s)_1, OH(s)_1, C(s)_1, HCO(s)_1, CH(s)_1, CH3(s)_1, CH2(s)_1, COOH(s)_1, Ni(s)_1, Velocity_2, GasTemperature_2, SolidTemperature_2, CH4_2, CO_2, O2_2, CO2_2, H2_2, H2O_2, AR_2, H(s)_2, O(s)_2, CH4(s)_2, H2O(s)_2, CO2(s)_2, CO(s)_2, OH(s)_2, C(s)_2, HCO(s)_2, CH(s)_2, CH3(s)_2, CH2(s)_2, COOH(s)_2, Ni(s)_2, Annular_Density, Annular_Velocity, Annular_Temperature, 
0.0110526, 0.161398, 1173, 1173, 0.0484947, 0.18374, 1.07124e-17, 0.218251, 0.0565225, 0.493717, 2.34375e-05, 0.256549, 0.00163233, 7.26081e-10, 0.00196175, 2.63596e-05, 0.415182, 7.47975e-05, 9.30818e-07, 3.28803e-10, 2.61822e-12, 2.07944e-10, 5.21414e-11, 7.93827e-08, 0.324573, 0.159435, 1173, 1173, 0.0473937, 0.182728, 1.13296e-17, 0.225559, 0.053944, 0.489673, 2.34522e-05, 0.253667, 0.00169913, 7.25714e-10, 0.00198988, 2.78613e-05, 0.417432, 7.68578e-05, 9.10994e-07, 3.30122e-10, 2.60634e-12, 2.06974e-10, 5.23023e-11, 8.28268e-08, 0.325106, 0.134304, 1173, 1173, 0.0454714, 0.181348, 1.2817e-17, 0.241183, 0.0490337, 0.482801, 2.35411e-05, 0.247543, 0.00184991, 7.26755e-10, 0.00204783, 3.13042e-05, 0.422128, 8.13546e-05, 8.70006e-07, 3.32475e-10, 2.58933e-12, 2.0552e-10, 5.28163e-11, 9.04812e-08, 0.326317, 0.0206708, 0.127216, 1173, 
0.0121053, 0.160461, 1173, 1173, 0.0435093, 0.188661, 1.06592e-17, 0.225228, 0.0554269, 0.486266, 2.34771e-05, 0.254151, 0.00162916, 6.56083e-10, 0.00194592, 2.73781e-05, 0.419641, 7.44229e-05, 9.58354e-07, 3.38972e-10, 2.4821e-12, 1.89384e-10, 4.77608e-11, 8.21963e-08, 0.322531, 0.158488, 1173, 1173, 0.0425581, 0.188136, 1.13185e-17, 0.233547, 0.0530137, 0.483591, 2.35645e-05, 0.251238, 0.00169685, 6.5454e-10, 0.00197382, 2.89538e-05, 0.421901, 7.64958e-05, 9.37469e-07, 3.40237e-10, 2.46442e-12, 1.8807e-10, 4.78036e-11, 8.57841e-08, 0.323083, 0.12929, 1173, 1173, 0.0405803, 0.186146, 1.27965e-17, 0.24922, 0.0480206, 0.475504, 2.36032e-05, 0.245095, 0.00184917, 6.53172e-10, 0.00203115, 3.25435e-05, 0.42656, 8.10067e-05, 8.94263e-07, 3.42353e-10, 2.43508e-12, 1.85924e-10, 4.80647e-11, 9.36977e-08, 0.32435, 0.0206708, 0.139815, 1173, 
0.0131579, 0.159445, 1173, 1173, 0.0392195, 0.192907, 1.07261e-17, 0.232462, 0.0543177, 0.480836, 2.35892e-05, 0.25184, 0.00163589, 5.95442e-10, 0.00193735, 2.84403e-05, 0.423518, 7.4412e-05, 9.7779e-07, 3.47488e-10, 2.35979e-12, 1.73196e-10, 4.39602e-11, 8.50218e-08, 0.320964, 0.157447, 1173, 1173, 0.0381898, 0.192004, 1.13817e-17, 0.240713, 0.0518135, 0.477108, 2.36309e-05, 0.248886, 0.00170463, 5.92616e-10, 0.00196479, 3.00955e-05, 0.425811, 7.64954e-05, 9.56265e-07, 3.48742e-10, 2.33677e-12, 1.71522e-10, 4.38847e-11, 8.87591e-08, 0.321526, 0.127796, 1173, 1173, 0.0362635, 0.190164, 1.28872e-17, 0.25738, 0.046931, 0.469393, 2.36966e-05, 0.242691, 0.001859, 5.88353e-10, 0.00202106, 3.38491e-05, 0.430489, 8.10198e-05, 9.11675e-07, 3.5073e-10, 2.29537e-12, 1.68576e-10, 4.38763e-11, 9.6957e-08, 0.322823, 0.0206708, 0.152237, 1173, 
0.0142105, 0.15821, 1173, 1173, 0.0351039, 0.196628, 1.08502e-17, 0.240124, 0.0529563, 0.474806, 2.36593e-05, 0.249348, 0.00164975, 5.38218e-10, 0.00193194, 2.96511e-05, 0.427387, 7.46221e-05, 9.93709e-07, 3.55682e-10, 2.24132e-12, 1.57824e-10, 4.03642e-11, 8.81448e-08, 0.319578, 0.156227, 1173, 1173, 0.0341274, 0.195613, 1.1521e-17, 0.248625, 0.050494, 0.471109, 2.37051e-05, 0.246396, 0.00172001, 5.34822e-10, 0.0019593, 3.13746e-05, 0.429625, 7.67325e-05, 9.71025e-07, 3.56709e-10, 2.21426e-12, 1.55984e-10, 4.02164e-11, 9.19882e-08, 0.32019, 0.122714, 1173, 1173, 0.0322773, 0.193412, 1.30489e-17, 0.265619, 0.0456811, 0.463204, 2.37646e-05, 0.24023, 0.00187751, 5.29166e-10, 0.00201532, 3.52688e-05, 0.434166, 8.13064e-05, 9.24177e-07, 3.58166e-10, 2.16397e-12, 1.52649e-10, 4.00396e-11, 1.00381e-07, 0.321593, 0.0206708, 0.164442, 1173, 
0.0152632, 0.157001, 1173, 1173, 0.0316861, 0.199287, 1.10543e-17, 0.247337, 0.0516238, 0.470373, 2.37759e-05, 0.24708, 0.00167179, 4.90717e-10, 0.00193321, 3.0848e-05, 0.430533, 7.51438e-05, 1.00104e-06, 3.61838e-10, 2.13659e-12, 1.44937e-10, 3.73539e-11, 9.11263e-08, 0.318675, 0.155003, 1173, 1173, 0.0306551, 0.198014, 1.17928e-17, 0.2559, 0.049124, 0.465927, 2.379e-05, 0.244085, 0.00174367, 4.85935e-10, 0.00196005, 3.26581e-05, 0.432801, 7.72732e-05, 9.78032e-07, 3.62827e-10, 2.10466e-12, 1.42726e-10, 3.70895e-11, 9.51176e-08, 0.319299, 0.121226, 1173, 1173, 0.0287611, 0.19559, 1.33076e-17, 0.273386, 0.0443493, 0.45739, 2.38254e-05, 0.237864, 0.00190458, 4.77423e-10, 0.00201492, 3.67301e-05, 0.437351, 8.18825e-05, 9.30364e-07, 3.64082e-10, 2.04385e-12, 1.38634e-10, 3.66637e-11, 1.03784e-07, 0.320745, 0.0206708, 0.176403, 1173, 
0.0163158, 0.155521, 1173, 1173, 0.0280614, 0.201723, 1.13048e-17, 0.255474, 0.0499667, 0.464212, 2.3823e-05, 0.244444, 0.0016997, 4.4074e-10, 0.00193492, 3.22895e-05, 0.434058, 7.5802e-05, 1.00784e-06, 3.68553e-10, 2.02414e-12, 1.3132e-10, 3.41659e-11, 9.464e-08, 0.317755, 0.153566, 1173, 1173, 0.0271282, 0.200234, 1.20031e-17, 0.264087, 0.0475363, 0.459808, 2.38345e-05, 0.241491, 0.00177356, 4.36144e-10, 0.00196183, 3.41583e-05, 0.436203, 7.7968e-05, 9.83552e-07, 3.69131e-10, 1.99013e-12, 1.29159e-10, 3.38819e-11, 9.86894e-08, 0.318457, 0.116163, 1173, 1173, 0.0254427, 0.197616, 1.36428e-17, 0.282025, 0.0429572, 0.451963, 2.38985e-05, 0.235368, 0.00193888, 4.27823e-10, 0.00201687, 3.83504e-05, 0.440485, 8.26565e-05, 9.33383e-07, 3.69498e-10, 1.92474e-12, 1.25129e-10, 3.34025e-11, 1.07451e-07, 0.320069, 0.0206708, 0.188084, 1173, 
0.0173684, 0.154257, 1173, 1173, 0.0255139, 0.202895, 1.16386e-17, 0.262228, 0.0485764, 0.460797, 2.3935e-05, 0.242338, 0.00173369, 4.05543e-10, 0.00194376, 3.3559e-05, 0.436446, 7.67309e-05, 1.00472e-06, 3.723e-10, 1.93651e-12, 1.21568e-10, 3.18862e-11, 9.76146e-08, 0.317427, 0.15228, 1173, 1173, 0.0245383, 0.201497, 1.23504e-17, 0.2714, 0.0461854, 0.456371, 2.39567e-05, 0.239321, 0.00181001, 3.99176e-10, 0.00197021, 3.55303e-05, 0.438639, 7.89332e-05, 9.80333e-07, 3.72847e-10, 1.89728e-12, 1.18943e-10, 3.14677e-11, 1.01832e-07, 0.318144, 0.114785, 1173, 1173, 0.0226906, 0.1985, 1.40548e-17, 0.289744, 0.0415783, 0.447226, 2.39705e-05, 0.233091, 0.00198045, 3.86948e-10, 0.00202399, 3.994e-05, 0.442991, 8.36852e-05, 9.30052e-07, 3.73091e-10, 1.82019e-12, 1.13896e-10, 3.06849e-11, 1.1092e-07, 0.319788, 0.0206708, 0.199477, 1173, 
0.0184211, 0.15248, 1173, 1173, 0.022079, 0.204553, 1.20397e-17, 0.27195, 0.04667, 0.454615, 2.40029e-05, 0.239397, 0.00177718, 3.57097e-10, 0.00195131, 3.53524e-05, 0.43989, 7.7838e-05, 1.00369e-06, 3.77952e-10, 1.81721e-12, 1.08198e-10, 2.87255e-11, 1.01761e-07, 0.316869, 0.150587, 1173, 1173, 0.021262, 0.202972, 1.28034e-17, 0.281055, 0.0444077, 0.450437, 2.40227e-05, 0.236476, 0.00185527, 3.51737e-10, 0.00197753, 3.73618e-05, 0.441896, 8.00624e-05, 9.78295e-07, 3.77952e-10, 1.77831e-12, 1.05864e-10, 2.83433e-11, 1.05963e-07, 0.317677, 0.109771, 1173, 1173, 0.019755, 0.199352, 1.45299e-17, 0.298835, 0.040022, 0.441593, 2.40195e-05, 0.230478, 0.00202997, 3.42452e-10, 0.00203151, 4.18265e-05, 0.445793, 8.48824e-05, 9.25584e-07, 3.76906e-10, 1.70397e-12, 1.01649e-10, 2.76957e-11, 1.14946e-07, 0.319539, 0.0206708, 0.210536, 1173, 
0.0194737, 0.151435, 1173, 1173, 0.0205849, 0.204437, 1.24059e-17, 0.276791, 0.045493, 0.452346, 2.40742e-05, 0.237759, 0.00181472, 3.36763e-10, 0.0019639, 3.64799e-05, 0.441361, 7.89093e-05, 9.94035e-07, 3.79329e-10, 1.75759e-12, 1.02386e-10, 2.73654e-11, 1.04251e-07, 0.316986, 0.149486, 1173, 1173, 0.0196717, 0.202687, 1.32026e-17, 0.286315, 0.043183, 0.447714, 2.4088e-05, 0.234732, 0.00189732, 3.29572e-10, 0.0019906, 3.86205e-05, 0.443418, 8.12318e-05, 9.67923e-07, 3.79212e-10, 1.7131e-12, 9.95586e-11, 2.68504e-11, 1.0867e-07, 0.317841, 0.108642, 1173, 1173, 0.0178763, 0.199083, 1.50644e-17, 0.305764, 0.0387553, 0.438291, 2.41008e-05, 0.22847, 0.00208216, 3.1423e-10, 0.0020446, 4.34132e-05, 0.447501, 8.62431e-05, 9.1447e-07, 3.78076e-10, 1.62179e-12, 9.37313e-11, 2.57679e-11, 1.18181e-07, 0.319772, 0.0206708, 0.221298, 1173, 
0.0205263, 0.14899, 1173, 1173, 0.0168261, 0.204685, 1.31325e-17, 0.290087, 0.0429227, 0.444888, 2.41764e-05, 0.233972, 0.00189163, 2.82542e-10, 0.00198255, 3.90801e-05, 0.445057, 8.09458e-05, 9.79963e-07, 3.83624e-10, 1.60775e-12, 8.71776e-11, 2.37189e-11, 1.09904e-07, 0.316976, 0.147183, 1173, 1173, 0.016067, 0.202866, 1.39511e-17, 0.299447, 0.0408252, 0.440462, 2.41824e-05, 0.2311, 0.00197471, 2.75942e-10, 0.00200754, 4.12365e-05, 0.446902, 8.32239e-05, 9.54333e-07, 3.83002e-10, 1.56403e-12, 8.45793e-11, 2.32144e-11, 1.14215e-07, 0.31789, 0.103517, 1173, 1173, 0.0147594, 0.198858, 1.57889e-17, 0.317236, 0.0368576, 0.431402, 2.41448e-05, 0.225353, 0.002156, 2.65279e-10, 0.00205775, 4.58913e-05, 0.450373, 8.80408e-05, 9.02432e-07, 3.80697e-10, 1.48377e-12, 8.01661e-11, 2.23912e-11, 1.23161e-07, 0.319925, 0.0206708, 0.231625, 1173, 
