,time (s),T1 (K),P1 (bar),V1 (m3),T2 (K),P2 (bar),V2 (m3)
0,0.0004,974.9154035645535,19.018143880645855,1.0388322213368772,506.904245195628,0.21374862447380788,0.9611677786631233
1,0.0008,952.7177863326821,17.95417760935513,1.0753389188916043,513.6996289344828,0.22516624075663763,0.9246610811083958
2,0.0012000000000000001,932.862196773382,17.033443167000108,1.1098432790287105,520.4177565777707,0.23695301262323828,0.89015672097129
3,0.0016,914.9410115609055,16.227259107475838,1.1426008222633144,527.0847257436437,0.24915750433516912,0.8573991777366862
4,0.002,898.641989504565,15.514320498824564,1.1738174365219383,533.7226597018098,0.261828079579033,0.8261825634780621
5,0.0024000000000000002,883.7209913744737,14.878437449146054,1.203661738768917,540.3507678488164,0.2750139945185607,0.7963382612310834
6,0.0028000000000000004,869.9838375383956,14.307067044084077,1.2322737017581546,546.986094304153,0.2887662758579051,0.7677262982418459
7,0.0032000000000000006,857.2737317938424,13.790326576816122,1.2597709037586238,553.6440683989031,0.30313850409482535,0.7402290962413766
8,0.0036000000000000008,845.4623957434948,13.320313997653965,1.2862531208167851,560.3389171973487,0.3181875392575813,0.7137468791832152
9,0.004000000000000001,834.4436639885495,12.890628466493537,1.3118057738365454,567.08398315882,0.33397423232620965,0.6881942261634549
10,0.004400000000000001,824.128754365667,12.496024800224005,1.3365025657536191,573.8919751737897,0.350564155236152,0.6634974342463812
11,0.004800000000000001,814.4427564488476,12.132160666310979,1.3604075080596891,580.7751699610219,0.3680283607944061,0.6395924919403112
12,0.0052000000000000015,805.3219417032151,11.79540770709193,1.3835765201065007,587.7455793825317,0.3864442077464288,0.6164234798934994
13,0.005600000000000002,796.7116935317935,11.482708737969404,1.4060586955440735,594.8150917356444,0.4058962642803468,0.5939413044559267
14,0.006000000000000002,788.5648978708699,11.19146839311479,1.4278973137416489,601.9955937314703,0.42647730905633946,0.5721026862583515
15,0.006400000000000002,780.8406694289117,10.91946821458795,1.4491306586557986,609.2990784860036,0.44828945446080887,0.5508693413442018
16,0.006800000000000002,773.5033400501547,10.664800121906081,1.4697926831201447,616.737742885755,0.4714454124521975,0.5302073168798557
17,0.007200000000000002,766.5216456768454,10.425813722210766,1.4899135514525017,624.3240765948653,0.4960699288609632,0.5100864485474984
18,0.007600000000000003,759.8680682233071,10.201074208101572,1.50952008469028,632.0709450737673,0.5223014154955371,0.4904799153097201
19,0.008000000000000002,753.5182923715461,9.989328322209008,1.5286361307156044,639.9916683638289,0.550293817771083,0.4713638692843959
20,0.008400000000000001,747.450766793924,9.789476860121486,1.5472828635799947,648.1000946333387,0.580218744163457,0.45271713642000583
21,0.0088,741.6463391676554,9.600552144084688,1.5654790305464705,656.4106698038612,0.612267906900077,0.43452096945352975
22,0.0092,736.0879507968274,9.421699454375855,1.5832411546485567,664.9385030636821,0.646655921758415,0.4167588453514435
23,0.0096,730.7603874465074,9.252161763456577,1.6005836938664733,673.6994252325089,0.6836235097408714,0.39941630613352685
24,0.009999999999999998,725.6500670819618,9.09126698111827,1.6175191686656558,682.7100400756854,0.7234411676981456,0.3824808313343441
25,0.010399999999999998,720.7448659833384,8.938417382196036,1.6340582549037221,691.9877648604927,0.7664133563777191,0.36594174509627747
26,0.010799999999999997,716.0339682665337,8.793080660853688,1.650209855519799,701.550852043609,0.81288328107646,0.34979014448020107
27,0.011199999999999996,711.5077449843128,8.654782524442718,1.6659811394897548,711.4183914257183,0.863238302185632,0.3340188605102454
28,0.011599999999999996,707.1576549786496,8.523100502190779,1.6813775543839713,721.6102820265695,0.9179160204482949,0.3186224456160291
29,0.011999999999999995,702.9761608023147,8.397658703132707,1.696402819198233,732.1471585596958,0.9774110635039107,0.3035971808017676
30,0.012399999999999994,698.9566620179127,8.278123462239419,1.7110588915958522,743.0502594732156,1.0422825323396265,0.2889411084041484
31,0.012799999999999994,695.0934426563228,8.164199723401095,1.7253459117438539,754.3412142965616,1.113161999865314,0.2746540882561465
32,0.013199999999999993,691.3816299486571,8.055628025930918,1.7392621265292874,766.0417229538114,1.190761841309768,0.2607378734707132
33,0.013599999999999992,687.8171695259397,7.952182160482529,1.7528037787803123,778.1730873659716,1.2758833883189975,0.2471962212196883
34,0.013999999999999992,684.3968023596548,7.853667108235737,1.765964995546396,790.755552329616,1.3694243137151216,0.23403500445360498
35,0.014399999999999991,681.1180551346026,7.759917494121837,1.7787376473729817,803.807394370302,1.4723839508633205,0.22126235262701904
36,0.01479999999999999,677.9792352823763,7.670796318306938,1.7911112005682635,817.3436869483193,1.5858648104701718,0.20888879943173744
37,0.01519999999999999,674.9794290967037,7.586193898484942,1.80307257020895,831.3746579966732,1.711067621425716,0.19692742979105046
38,0.015599999999999989,672.1184989310457,7.5060269016232875,1.8146059905396834,845.9035473038847,1.8492760835168756,0.18539400946031734
39,0.01599999999999999,669.3970735926221,7.430237299608746,1.8256929286859787,860.9238748724118,2.0018261098379493,0.1743070713140218
40,0.01639999999999999,666.8165246376757,7.35879105198883,1.836312075762823,876.4160360329467,2.1700526844575636,0.16368792423717776
