train_loss,valid_loss,best_valid_loss,epoch,branch_hidden_layers,trunk_hidden_layers,n_params,n_params_branch,n_params_trunk,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.9051037311553956,0.817180049419403,0.817180049419403,1,5,3,7238541,5071680,2166848,1784569315,,False,1,e050c3b3,2026-07-20_12-41-55,2.6813035011291504,2.6813035011291504,113051,Rohan-Laptop,172.22.123.235,2.6813035011291504,1
0.7906436085700989,0.7394292116165161,0.7394292116165161,2,5,3,7238541,5071680,2166848,1784569316,,False,2,e050c3b3,2026-07-20_12-41-56,1.2237329483032227,3.905036449432373,113051,Rohan-Laptop,172.22.123.235,3.905036449432373,2
0.6972992300987244,0.6716765522956848,0.6716765522956848,3,5,3,7238541,5071680,2166848,1784569318,,False,3,e050c3b3,2026-07-20_12-41-58,1.2677395343780518,5.172775983810425,113051,Rohan-Laptop,172.22.123.235,5.172775983810425,3
0.6556842625141144,0.6509114503860474,0.6509114503860474,4,5,3,7238541,5071680,2166848,1784569319,,False,4,e050c3b3,2026-07-20_12-41-59,1.153519868850708,6.326295852661133,113051,Rohan-Laptop,172.22.123.235,6.326295852661133,4
0.617472118139267,0.6371705055236816,0.6371705055236816,5,5,3,7238541,5071680,2166848,1784569320,,False,5,e050c3b3,2026-07-20_12-42-00,1.226020336151123,7.552316188812256,113051,Rohan-Laptop,172.22.123.235,7.552316188812256,5
0.5747273802757263,0.6105886578559876,0.6105886578559876,6,5,3,7238541,5071680,2166848,1784569321,,False,6,e050c3b3,2026-07-20_12-42-01,1.2553017139434814,8.807617902755737,113051,Rohan-Laptop,172.22.123.235,8.807617902755737,6
0.559654152393341,0.5529170989990234,0.5529170989990234,7,5,3,7238541,5071680,2166848,1784569323,,False,7,e050c3b3,2026-07-20_12-42-03,1.868976354598999,10.676594257354736,113051,Rohan-Laptop,172.22.123.235,10.676594257354736,7
0.5137546002864838,0.5117721796035767,0.5117721796035767,8,5,3,7238541,5071680,2166848,1784569325,,False,8,e050c3b3,2026-07-20_12-42-05,1.6067509651184082,12.283345222473145,113051,Rohan-Laptop,172.22.123.235,12.283345222473145,8
0.4770335078239441,0.4732827305793762,0.4732827305793762,9,5,3,7238541,5071680,2166848,1784569326,,False,9,e050c3b3,2026-07-20_12-42-06,1.7521324157714844,14.035477638244629,113051,Rohan-Laptop,172.22.123.235,14.035477638244629,9
0.48814869821071627,0.5401645064353943,0.4732827305793762,10,5,3,7238541,5071680,2166848,1784569328,,False,10,e050c3b3,2026-07-20_12-42-08,1.4998600482940674,15.535337686538696,113051,Rohan-Laptop,172.22.123.235,15.535337686538696,10
0.47943966686725614,0.4513912916183472,0.4513912916183472,11,5,3,7238541,5071680,2166848,1784569329,,False,11,e050c3b3,2026-07-20_12-42-09,1.1764469146728516,16.711784601211548,113051,Rohan-Laptop,172.22.123.235,16.711784601211548,11
0.43852399289608,0.4402773082256317,0.4402773082256317,12,5,3,7238541,5071680,2166848,1784569330,,False,12,e050c3b3,2026-07-20_12-42-10,1.1873302459716797,17.899114847183228,113051,Rohan-Laptop,172.22.123.235,17.899114847183228,12
0.42621124982833863,0.4786191821098328,0.4402773082256317,13,5,3,7238541,5071680,2166848,1784569332,,False,13,e050c3b3,2026-07-20_12-42-12,1.4033260345458984,19.302440881729126,113051,Rohan-Laptop,172.22.123.235,19.302440881729126,13
0.43532988131046296,0.4633897304534912,0.4402773082256317,14,5,3,7238541,5071680,2166848,1784569333,,False,14,e050c3b3,2026-07-20_12-42-13,1.4802792072296143,20.78272008895874,113051,Rohan-Laptop,172.22.123.235,20.78272008895874,14
0.46179573237895966,0.4863556981086731,0.4402773082256317,15,5,3,7238541,5071680,2166848,1784569335,,False,15,e050c3b3,2026-07-20_12-42-15,1.495680570602417,22.278400659561157,113051,Rohan-Laptop,172.22.123.235,22.278400659561157,15
0.4670566976070404,0.4485481381416321,0.4402773082256317,16,5,3,7238541,5071680,2166848,1784569336,,False,16,e050c3b3,2026-07-20_12-42-16,1.6644868850708008,23.942887544631958,113051,Rohan-Laptop,172.22.123.235,23.942887544631958,16
0.4307414203882217,0.4256213426589966,0.4256213426589966,17,5,3,7238541,5071680,2166848,1784569338,,False,17,e050c3b3,2026-07-20_12-42-18,1.688887357711792,25.63177490234375,113051,Rohan-Laptop,172.22.123.235,25.63177490234375,17
0.3990866631269455,0.4018645226955414,0.4018645226955414,18,5,3,7238541,5071680,2166848,1784569340,,False,18,e050c3b3,2026-07-20_12-42-20,1.5329644680023193,27.16473937034607,113051,Rohan-Laptop,172.22.123.235,27.16473937034607,18
0.3834314733743668,0.40265411138534546,0.4018645226955414,19,5,3,7238541,5071680,2166848,1784569341,,False,19,e050c3b3,2026-07-20_12-42-21,1.5804874897003174,28.745226860046387,113051,Rohan-Laptop,172.22.123.235,28.745226860046387,19
0.3838316768407822,0.3915430665016174,0.3915430665016174,20,5,3,7238541,5071680,2166848,1784569343,,False,20,e050c3b3,2026-07-20_12-42-23,1.7923626899719238,30.53758955001831,113051,Rohan-Laptop,172.22.123.235,30.53758955001831,20
0.37235744297504425,0.3709116816520691,0.3709116816520691,21,5,3,7238541,5071680,2166848,1784569345,,False,21,e050c3b3,2026-07-20_12-42-25,2.0011332035064697,32.53872275352478,113051,Rohan-Laptop,172.22.123.235,32.53872275352478,21
0.35769482851028445,0.36605368852615355,0.36605368852615355,22,5,3,7238541,5071680,2166848,1784569347,,False,22,e050c3b3,2026-07-20_12-42-27,1.7922027111053467,34.33092546463013,113051,Rohan-Laptop,172.22.123.235,34.33092546463013,22
0.3428462415933609,0.3552451074123383,0.3552451074123383,23,5,3,7238541,5071680,2166848,1784569349,,False,23,e050c3b3,2026-07-20_12-42-29,1.6895411014556885,36.020466566085815,113051,Rohan-Laptop,172.22.123.235,36.020466566085815,23
0.33790558874607085,0.34670951664447786,0.34670951664447786,24,5,3,7238541,5071680,2166848,1784569350,,False,24,e050c3b3,2026-07-20_12-42-30,1.7009649276733398,37.721431493759155,113051,Rohan-Laptop,172.22.123.235,37.721431493759155,24
0.33065855503082275,0.34367790818214417,0.34367790818214417,25,5,3,7238541,5071680,2166848,1784569352,,False,25,e050c3b3,2026-07-20_12-42-32,1.8143415451049805,39.535773038864136,113051,Rohan-Laptop,172.22.123.235,39.535773038864136,25
0.32229221165180205,0.32981550991535186,0.32981550991535186,26,5,3,7238541,5071680,2166848,1784569354,,False,26,e050c3b3,2026-07-20_12-42-34,1.6501052379608154,41.18587827682495,113051,Rohan-Laptop,172.22.123.235,41.18587827682495,26
0.31744723320007323,0.32209147810935973,0.32209147810935973,27,5,3,7238541,5071680,2166848,1784569356,,False,27,e050c3b3,2026-07-20_12-42-36,1.7451326847076416,42.93101096153259,113051,Rohan-Laptop,172.22.123.235,42.93101096153259,27
0.31063343286514283,0.3198544293642044,0.3198544293642044,28,5,3,7238541,5071680,2166848,1784569357,,False,28,e050c3b3,2026-07-20_12-42-37,1.61977219581604,44.55078315734863,113051,Rohan-Laptop,172.22.123.235,44.55078315734863,28
0.30789864957332613,0.320083874464035,0.3198544293642044,29,5,3,7238541,5071680,2166848,1784569359,,False,29,e050c3b3,2026-07-20_12-42-39,1.6961658000946045,46.24694895744324,113051,Rohan-Laptop,172.22.123.235,46.24694895744324,29
0.3130435526371002,0.3910963624715805,0.3198544293642044,30,5,3,7238541,5071680,2166848,1784569361,,True,30,e050c3b3,2026-07-20_12-42-41,1.7073352336883545,47.95428419113159,113051,Rohan-Laptop,172.22.123.235,47.95428419113159,30
