epoch,train_loss,valid_loss
1,0.9990478693684445,0.9959197282791138
2,0.9832874800585494,0.9517754435539245
3,0.8444460019280638,0.6896079182624817
4,0.49707369562945786,0.31061400175094606
5,0.22363012595267234,0.14107683598995208
6,0.114284588377687,0.08873830437660217
7,0.07835407243876517,0.06764169037342072
8,0.05815980762620516,0.057016363739967345
9,0.052616195399549946,0.04575059190392494
10,0.04662389430818679,0.04108239412307739
11,0.042437129382845724,0.04343150407075882
12,0.03879616202055654,0.03448835760354996
13,0.03727645360970799,0.03361789137125015
14,0.036219088761489604,0.031234871596097946
15,0.029803336987012548,0.03111012130975723
16,0.029654660203222986,0.025349099934101105
17,0.025684734829996204,0.02395920306444168
18,0.02454772794359847,0.023874759674072266
19,0.023065529009209402,0.018562011793255805
20,0.022591425318129455,0.03274598605930805
21,0.02100540466512306,0.018472886085510253
22,0.025192310538473008,0.026865503937005996
23,0.02099970834258991,0.022072598710656165
24,0.021204581177687344,0.03546523302793503
25,0.020666689105048965,0.014758926443755626
26,0.01890291831208558,0.021609992161393164
27,0.018719453647544113,0.012164697423577309
28,0.016059850755183003,0.013076083734631538
29,0.01933861212639869,0.01749323680996895
30,0.018503890502490575,0.020719153806567192
31,0.01851856067210813,0.013408028706908225
32,0.013091027005752431,0.022635332494974136
33,0.01794139441998699,0.01252144705504179
34,0.013577175762834428,0.015335658006370068
35,0.014366221166204047,0.011909913085401059
36,0.01784990218621266,0.012610036879777908
37,0.018114609148683427,0.020546895265579224
38,0.016039369792877872,0.012852358259260654
39,0.01157827072340665,0.010001936554908752
40,0.013109189116313487,0.01212899461388588
41,0.01600717937078657,0.013611159846186638
42,0.010554552667691737,0.014217841997742653
43,0.011491330788482594,0.0075567375868558885
44,0.012423241381309454,0.008685641176998615
45,0.00976198295107748,0.00978661011904478
46,0.010989344596296927,0.009785445965826511
47,0.010242924329978002,0.014453998953104018
48,0.010851813268057908,0.012609931081533432
49,0.01398013480290582,0.012826324999332428
50,0.017976858641339254,0.023700049519538878
