train_loss,valid_loss,best_valid_loss,n_params,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.24962021704763174,0.13674650862812995,0.13674650862812995,67545,1785115664,,False,1,69855daf,2026-07-26_20-27-44,32.65583562850952,32.65583562850952,12729,Rohan-Laptop,172.22.123.235,32.65583562850952,1
0.10644224505126476,0.08803111975640059,0.08803111975640059,67545,1785115688,,False,2,69855daf,2026-07-26_20-28-08,24.041509866714478,56.697345495224,12729,Rohan-Laptop,172.22.123.235,56.697345495224,2
0.0881351907365024,0.08324948841333389,0.08324948841333389,67545,1785115715,,False,3,69855daf,2026-07-26_20-28-35,27.063233613967896,83.7605791091919,12729,Rohan-Laptop,172.22.123.235,83.7605791091919,3
0.07126232324354351,0.05077413734793663,0.05077413734793663,67545,1785115742,,False,4,69855daf,2026-07-26_20-29-02,26.790239095687866,110.55081820487976,12729,Rohan-Laptop,172.22.123.235,110.55081820487976,4
0.0661768496898003,0.037710938304662704,0.037710938304662704,67545,1785115770,,False,5,69855daf,2026-07-26_20-29-30,28.26935577392578,138.82017397880554,12729,Rohan-Laptop,172.22.123.235,138.82017397880554,5
0.0634450564221479,0.04951263348385691,0.037710938304662704,67545,1785115799,,False,6,69855daf,2026-07-26_20-29-59,29.15289568901062,167.97306966781616,12729,Rohan-Laptop,172.22.123.235,167.97306966781616,6
0.06120521409995854,0.05187974627502263,0.037710938304662704,67545,1785115831,,False,7,69855daf,2026-07-26_20-30-31,31.203722953796387,199.17679262161255,12729,Rohan-Laptop,172.22.123.235,199.17679262161255,7
0.055703962078318,0.04588207571208477,0.037710938304662704,67545,1785115864,,False,8,69855daf,2026-07-26_20-31-04,33.42763948440552,232.60443210601807,12729,Rohan-Laptop,172.22.123.235,232.60443210601807,8
0.054388635689392686,0.053838717617094516,0.037710938304662704,67545,1785115896,,False,9,69855daf,2026-07-26_20-31-36,32.300570249557495,264.90500235557556,12729,Rohan-Laptop,172.22.123.235,264.90500235557556,9
0.050113952586427334,0.04337783502787352,0.037710938304662704,67545,1785115927,,False,10,69855daf,2026-07-26_20-32-07,30.499701261520386,295.40470361709595,12729,Rohan-Laptop,172.22.123.235,295.40470361709595,10
0.04832199476333335,0.050132014241069556,0.037710938304662704,67545,1785115951,,False,11,69855daf,2026-07-26_20-32-31,24.03573775291443,319.4404413700104,12729,Rohan-Laptop,172.22.123.235,319.4404413700104,11
0.04680588100058958,0.03249404328875244,0.03249404328875244,67545,1785115970,,False,12,69855daf,2026-07-26_20-32-50,19.60110640525818,339.04154777526855,12729,Rohan-Laptop,172.22.123.235,339.04154777526855,12
0.048074111027643085,0.04468650123849511,0.03249404328875244,67545,1785115994,,False,13,69855daf,2026-07-26_20-33-14,23.634870052337646,362.6764178276062,12729,Rohan-Laptop,172.22.123.235,362.6764178276062,13
0.048278486710507426,0.03887120221555233,0.03249404328875244,67545,1785116018,,False,14,69855daf,2026-07-26_20-33-38,23.897929906845093,386.5743477344513,12729,Rohan-Laptop,172.22.123.235,386.5743477344513,14
0.043736299295444044,0.03559781150892377,0.03249404328875244,67545,1785116040,,True,15,69855daf,2026-07-26_20-34-00,22.105693817138672,408.68004155158997,12729,Rohan-Laptop,172.22.123.235,408.68004155158997,15
