z, Pressure_0, Pressure_1, Pressure_2, Pressure_3, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, CH4_1, CO_1, O2_1, CO2_1, H2_1, H2O_1, AR_1, H(s)_1, O(s)_1, CH4(s)_1, H2O(s)_1, CO2(s)_1, CO(s)_1, OH(s)_1, C(s)_1, HCO(s)_1, CH(s)_1, CH3(s)_1, CH2(s)_1, COOH(s)_1, Ni(s)_1, Velocity_2, GasTemperature_2, SolidTemperature_2, CH4_2, CO_2, O2_2, CO2_2, H2_2, H2O_2, AR_2, H(s)_2, O(s)_2, CH4(s)_2, H2O(s)_2, CO2(s)_2, CO(s)_2, OH(s)_2, C(s)_2, HCO(s)_2, CH(s)_2, CH3(s)_2, CH2(s)_2, COOH(s)_2, Ni(s)_2, Velocity_3, GasTemperature_3, SolidTemperature_3, CH4_3, CO_3, O2_3, CO2_3, H2_3, H2O_3, AR_3, H(s)_3, O(s)_3, CH4(s)_3, H2O(s)_3, CO2(s)_3, CO(s)_3, OH(s)_3, C(s)_3, HCO(s)_3, CH(s)_3, CH3(s)_3, CH2(s)_3, COOH(s)_3, Ni(s)_3, Annular_Density_ch, Annular_Velocity_ch, Annular_Temperature_ch, 
0.0110526, 1.00011e+06, 1.00011e+06, 1.00011e+06, 1.00008e+06, 0.161731, 1173, 1173, 0.0431541, 0.0935437, 4.71781e-18, 0.070238, 0.402395, 0.39066, 8.35255e-06, 0.257016, 0.00162057, 7.25155e-10, 0.00195628, 2.61173e-05, 0.414864, 7.44235e-05, 9.34949e-07, 3.28743e-10, 2.61871e-12, 2.07857e-10, 5.20532e-11, 7.8828e-08, 0.324442, 0.160638, 1173, 1173, 0.0430897, 0.0943637, 4.92396e-18, 0.0723905, 0.396723, 0.393424, 8.45344e-06, 0.255415, 0.00165677, 7.24688e-10, 0.00197179, 2.69349e-05, 0.416135, 7.55482e-05, 9.24103e-07, 3.29559e-10, 2.61142e-12, 2.07245e-10, 5.2122e-11, 8.07206e-08, 0.324718, 0.158419, 1173, 1173, 0.0429891, 0.0960156, 5.37183e-18, 0.0769206, 0.385112, 0.398954, 8.65899e-06, 0.252127, 0.001734, 7.24366e-10, 0.0020033, 2.86838e-05, 0.418694, 7.79039e-05, 9.01816e-07, 3.31011e-10, 2.59874e-12, 2.06182e-10, 5.23185e-11, 8.46947e-08, 0.325335, 0.128529, 1173, 1173, 0.042925, 0.0986628, 6.16793e-18, 0.0840252, 0.366978, 0.4074, 8.97579e-06, 0.246886, 0.00186401, 7.25527e-10, 0.00205206, 3.1682e-05, 0.422731, 8.17484e-05, 8.67426e-07, 3.33057e-10, 2.58589e-12, 2.05042e-10, 5.2785e-11, 9.13207e-08, 0.326353, 0.0206708, 0.126281, 1173, 
0.0121053, 1.0001e+06, 1.0001e+06, 1.00009e+06, 1.00007e+06, 0.160803, 1173, 1173, 0.0392485, 0.0973506, 4.75635e-18, 0.0734448, 0.400011, 0.389937, 8.47836e-06, 0.25463, 0.00161692, 6.55346e-10, 0.00194028, 2.71188e-05, 0.41932, 7.40351e-05, 9.6287e-07, 3.38943e-10, 2.48371e-12, 1.89358e-10, 4.7692e-11, 8.1607e-08, 0.32239, 0.159704, 1173, 1173, 0.0391522, 0.0981992, 4.96674e-18, 0.075717, 0.394241, 0.392682, 8.58211e-06, 0.253013, 0.00165361, 6.54321e-10, 0.00195569, 2.7976e-05, 0.420595, 7.51672e-05, 9.5141e-07, 3.39726e-10, 2.47342e-12, 1.88579e-10, 4.77016e-11, 8.3577e-08, 0.322678, 0.157471, 1173, 1173, 0.0389859, 0.0998948, 5.42503e-18, 0.080482, 0.382468, 0.39816, 8.79288e-06, 0.249705, 0.00173174, 6.52844e-10, 0.00198693, 2.98035e-05, 0.423145, 7.75344e-05, 9.2787e-07, 3.41073e-10, 2.45449e-12, 1.87176e-10, 4.7774e-11, 8.76975e-08, 0.323323, 0.122476, 1173, 1173, 0.0388035, 0.102592, 6.23557e-18, 0.0879391, 0.364174, 0.406482, 9.1166e-06, 0.244458, 0.00186284, 6.51907e-10, 0.00203507, 3.2923e-05, 0.427143, 8.1384e-05, 8.91673e-07, 3.42913e-10, 2.43104e-12, 1.85438e-10, 4.80205e-11, 9.45338e-08, 0.324386, 0.0206708, 0.138786, 1173, 
0.0131579, 1.00008e+06, 1.00008e+06, 1.00008e+06, 1.00006e+06, 0.159799, 1173, 1173, 0.035808, 0.100706, 4.84044e-18, 0.0766679, 0.39671, 0.3901, 8.61803e-06, 0.252339, 0.0016231, 5.94976e-10, 0.0019316, 2.81605e-05, 0.423185, 7.40107e-05, 9.82584e-07, 3.47467e-10, 2.36257e-12, 1.73251e-10, 4.39146e-11, 8.43909e-08, 0.320818, 0.158687, 1173, 1173, 0.0356717, 0.101595, 5.05524e-18, 0.0790707, 0.390851, 0.392803, 8.72416e-06, 0.250697, 0.00166036, 5.9325e-10, 0.00194676, 2.90612e-05, 0.42448, 7.51483e-05, 9.70781e-07, 3.48252e-10, 2.34938e-12, 1.72275e-10, 4.38599e-11, 8.64444e-08, 0.32111, 0.156433, 1173, 1173, 0.0354179, 0.103362, 5.52713e-18, 0.0841011, 0.378929, 0.398182, 8.93932e-06, 0.247348, 0.00173959, 5.90231e-10, 0.00197744, 3.09774e-05, 0.427059, 7.75244e-05, 9.46531e-07, 3.49575e-10, 2.32414e-12, 1.70442e-10, 4.37912e-11, 9.07282e-08, 0.321766, 0.120893, 1173, 1173, 0.0350965, 0.106131, 6.3579e-18, 0.0919532, 0.360483, 0.406328, 9.2682e-06, 0.24207, 0.00187235, 5.86849e-10, 0.00202471, 3.42322e-05, 0.431056, 8.13836e-05, 9.09105e-07, 3.51271e-10, 2.29035e-12, 1.6803e-10, 4.38075e-11, 9.77928e-08, 0.32286, 0.0206708, 0.151116, 1173, 
0.0142105, 1.00007e+06, 1.00007e+06, 1.00007e+06, 1.00005e+06, 0.158571, 1173, 1173, 0.0325161, 0.104122, 4.96219e-18, 0.0803099, 0.392367, 0.390676, 8.7656e-06, 0.249857, 0.00163632, 5.37913e-10, 0.00192598, 2.93526e-05, 0.427059, 7.42032e-05, 9.9891e-07, 3.55716e-10, 2.24513e-12, 1.57929e-10, 4.03353e-11, 8.74797e-08, 0.319417, 0.157466, 1173, 1173, 0.0323614, 0.105008, 5.18545e-18, 0.0828175, 0.386457, 0.393347, 8.87372e-06, 0.248216, 0.00167437, 5.35887e-10, 0.00194109, 3.02905e-05, 0.428326, 7.53548e-05, 9.86473e-07, 3.56383e-10, 2.22975e-12, 1.56865e-10, 4.02418e-11, 8.95925e-08, 0.319736, 0.155223, 1173, 1173, 0.0320669, 0.106757, 5.67329e-18, 0.0880577, 0.374457, 0.398652, 9.09255e-06, 0.244875, 0.00175523, 5.32191e-10, 0.00197164, 3.22821e-05, 0.43084, 7.77577e-05, 9.60963e-07, 3.57442e-10, 2.1999e-12, 1.54839e-10, 4.00885e-11, 9.39891e-08, 0.320447, 0.114824, 1173, 1173, 0.0316748, 0.109477, 6.53249e-18, 0.0962224, 0.35596, 0.406656, 9.4262e-06, 0.239628, 0.00189044, 5.2761e-10, 0.0020186, 3.56525e-05, 0.434715, 8.16523e-05, 9.21709e-07, 3.58689e-10, 2.15855e-12, 1.52096e-10, 3.99598e-11, 1.01208e-07, 0.321629, 0.0206708, 0.163233, 1173, 
0.0152632, 1.00006e+06, 1.00006e+06, 1.00006e+06, 1.00004e+06, 0.157376, 1173, 1173, 0.0297541, 0.106886, 5.12123e-18, 0.083752, 0.387574, 0.392025, 8.92128e-06, 0.247617, 0.00165754, 4.90812e-10, 0.00192711, 3.0522e-05, 0.430186, 7.47047e-05, 1.00651e-06, 3.61878e-10, 2.14181e-12, 1.45156e-10, 3.73554e-11, 9.04071e-08, 0.318507, 0.156264, 1173, 1173, 0.0295565, 0.107802, 5.35328e-18, 0.0863957, 0.381597, 0.394639, 9.03149e-06, 0.245951, 0.00169646, 4.8805e-10, 0.00194194, 3.15066e-05, 0.431469, 7.58669e-05, 9.9388e-07, 3.62526e-10, 2.12381e-12, 1.43894e-10, 3.71998e-11, 9.26011e-08, 0.318832, 0.154014, 1173, 1173, 0.0291752, 0.109601, 5.86105e-18, 0.0919094, 0.369489, 0.399816, 9.25391e-06, 0.242572, 0.0017791, 4.82856e-10, 0.00197191, 3.35926e-05, 0.434002, 7.82901e-05, 9.67946e-07, 3.63511e-10, 2.08851e-12, 1.41469e-10, 3.69179e-11, 9.71531e-08, 0.319562, 0.113287, 1173, 1173, 0.0286494, 0.11236, 6.75348e-18, 0.100487, 0.350896, 0.407598, 9.59175e-06, 0.237293, 0.00191714, 4.75962e-10, 0.00201796, 3.7108e-05, 0.437864, 8.22139e-05, 9.27911e-07, 3.64544e-10, 2.03838e-12, 1.38113e-10, 3.65836e-11, 1.04587e-07, 0.320787, 0.0206708, 0.175109, 1173, 
0.0163158, 1.00005e+06, 1.00005e+06, 1.00005e+06, 1.00003e+06, 0.155896, 1173, 1173, 0.0267981, 0.110076, 5.32187e-18, 0.0879964, 0.381624, 0.393496, 9.09185e-06, 0.244979, 0.00168469, 4.40735e-10, 0.00192858, 3.19477e-05, 0.433737, 7.53429e-05, 1.01378e-06, 3.68704e-10, 2.02981e-12, 1.31518e-10, 3.41673e-11, 9.39e-08, 0.317562, 0.154807, 1173, 1173, 0.0266041, 0.110949, 5.56466e-18, 0.090722, 0.375649, 0.396066, 9.2025e-06, 0.243335, 0.00172466, 4.38051e-10, 0.00194342, 3.29652e-05, 0.434957, 7.65242e-05, 1.00046e-06, 3.69135e-10, 2.0106e-12, 1.30277e-10, 3.39991e-11, 9.61289e-08, 0.31793, 0.152597, 1173, 1173, 0.0262305, 0.112648, 6.09423e-18, 0.0963929, 0.363566, 0.401154, 9.42588e-06, 0.240004, 0.00180951, 4.33009e-10, 0.00197344, 3.51164e-05, 0.43735, 7.8987e-05, 9.73129e-07, 3.69657e-10, 1.97286e-12, 1.27894e-10, 3.36912e-11, 1.00742e-07, 0.318747, 0.107287, 1173, 1173, 0.0257021, 0.115239, 7.02526e-18, 0.105211, 0.34505, 0.408788, 9.76523e-06, 0.234808, 0.00195116, 4.26086e-10, 0.00201954, 3.8734e-05, 0.440994, 8.29726e-05, 9.31107e-07, 3.69964e-10, 1.91849e-12, 1.24542e-10, 3.32987e-11, 1.08256e-07, 0.320105, 0.0206708, 0.186708, 1173, 
0.0173684, 1.00004e+06, 1.00004e+06, 1.00003e+06, 1.00002e+06, 0.154651, 1173, 1173, 0.0247158, 0.112148, 5.54273e-18, 0.0914383, 0.376017, 0.395672, 9.25112e-06, 0.242911, 0.00171743, 4.06049e-10, 0.00193714, 3.31808e-05, 0.436102, 7.624e-05, 1.01099e-06, 3.72467e-10, 1.94386e-12, 1.21911e-10, 3.19246e-11, 9.6805e-08, 0.317222, 0.153555, 1173, 1173, 0.0244693, 0.113051, 5.79847e-18, 0.0943177, 0.369966, 0.398187, 9.3648e-06, 0.241234, 0.0017587, 4.02475e-10, 0.00195177, 3.4252e-05, 0.437344, 7.74413e-05, 9.97585e-07, 3.72876e-10, 1.92198e-12, 1.20435e-10, 3.16883e-11, 9.91225e-08, 0.317599, 0.151328, 1173, 1173, 0.0239813, 0.114807, 6.35636e-18, 0.100312, 0.35775, 0.40314, 9.59343e-06, 0.237842, 0.00184622, 3.95486e-10, 0.00198124, 3.65151e-05, 0.439779, 7.99418e-05, 9.70136e-07, 3.73343e-10, 1.87841e-12, 1.17544e-10, 3.12306e-11, 1.03913e-07, 0.318434, 0.105912, 1173, 1173, 0.0232768, 0.117454, 7.33547e-18, 0.109631, 0.339106, 0.410521, 9.93844e-06, 0.232575, 0.00199206, 3.85543e-10, 0.00202633, 4.03059e-05, 0.443453, 8.39785e-05, 9.27908e-07, 3.73488e-10, 1.8147e-12, 1.1341e-10, 3.05987e-11, 1.11674e-07, 0.319829, 0.0206708, 0.198026, 1173, 
0.0184211, 1.00002e+06, 1.00002e+06, 1.00002e+06, 1.00002e+06, 0.152864, 1173, 1173, 0.0217995, 0.115287, 5.84369e-18, 0.0966894, 0.36829, 0.397924, 9.45767e-06, 0.239961, 0.00176022, 3.57478e-10, 0.00194458, 3.49596e-05, 0.439579, 7.73323e-05, 1.0103e-06, 3.7824e-10, 1.82481e-12, 1.08506e-10, 2.87618e-11, 1.0094e-07, 0.316642, 0.151811, 1173, 1173, 0.0215792, 0.116114, 6.11111e-18, 0.0996153, 0.362335, 0.400347, 9.56893e-06, 0.238331, 0.00180245, 3.54339e-10, 0.00195904, 3.6055e-05, 0.440725, 7.85447e-05, 9.96366e-07, 3.78365e-10, 1.80282e-12, 1.07159e-10, 2.85375e-11, 1.03257e-07, 0.317066, 0.149674, 1173, 1173, 0.0211619, 0.117683, 6.69431e-18, 0.10567, 0.350338, 0.405137, 9.79257e-06, 0.235048, 0.00189208, 3.48518e-10, 0.00198837, 3.83596e-05, 0.442944, 8.10741e-05, 9.67718e-07, 3.78197e-10, 1.75968e-12, 1.04605e-10, 2.81232e-11, 1.08023e-07, 0.318007, 0.100006, 1173, 1173, 0.0205921, 0.119993, 7.71713e-18, 0.115014, 0.332068, 0.412322, 1.01305e-05, 0.229969, 0.00204163, 3.4081e-10, 0.00203363, 4.22015e-05, 0.446246, 8.517e-05, 9.235e-07, 3.77282e-10, 1.69773e-12, 1.01105e-10, 2.75892e-11, 1.15706e-07, 0.319581, 0.0206708, 0.209011, 1173, 
0.0194737, 1.00001e+06, 1.00001e+06, 1.00001e+06, 1.00001e+06, 0.151848, 1173, 1173, 0.0205757, 0.116502, 6.07954e-18, 0.0994254, 0.363211, 0.400276, 9.58757e-06, 0.238367, 0.00179589, 3.37502e-10, 0.00195661, 3.60431e-05, 0.441033, 7.8353e-05, 1.00123e-06, 3.79683e-10, 1.7667e-12, 1.02802e-10, 2.74283e-11, 1.03349e-07, 0.316732, 0.150772, 1173, 1173, 0.0203068, 0.117343, 6.36649e-18, 0.102524, 0.357101, 0.402716, 9.70413e-06, 0.236689, 0.00184037, 3.33565e-10, 0.00197133, 3.72023e-05, 0.442198, 7.96153e-05, 9.8688e-07, 3.79732e-10, 1.74215e-12, 1.01239e-10, 2.71451e-11, 1.05771e-07, 0.317183, 0.148576, 1173, 1173, 0.019755, 0.118965, 6.993e-18, 0.108989, 0.344775, 0.407506, 9.93913e-06, 0.233292, 0.00193484, 3.25509e-10, 0.00200099, 3.96527e-05, 0.444479, 8.22447e-05, 9.57607e-07, 3.79457e-10, 1.6924e-12, 9.80872e-11, 2.6569e-11, 1.10775e-07, 0.31817, 0.0989318, 1173, 1173, 0.0188847, 0.121401, 8.09377e-18, 0.119142, 0.326006, 0.414556, 1.02946e-05, 0.228013, 0.00209227, 3.12758e-10, 0.00204601, 4.37555e-05, 0.447921, 8.64818e-05, 9.12943e-07, 3.78461e-10, 1.61639e-12, 9.3251e-11, 2.5671e-11, 1.18866e-07, 0.319796, 0.0206708, 0.219709, 1173, 
0.0205263, 1e+06, 1e+06, 1e+06, 1e+06, 0.149391, 1173, 1173, 0.0172806, 0.119769, 6.60536e-18, 0.106976, 0.351827, 0.404138, 9.88383e-06, 0.234574, 0.0018717, 2.83418e-10, 0.00197525, 3.8618e-05, 0.444761, 8.03697e-05, 9.87376e-07, 3.84113e-10, 1.61763e-12, 8.76235e-11, 2.37978e-11, 1.0898e-07, 0.316698, 0.148383, 1173, 1173, 0.0170226, 0.120523, 6.90666e-18, 0.110129, 0.345955, 0.406361, 9.99559e-06, 0.232966, 0.00191688, 2.79615e-10, 0.00198916, 3.97996e-05, 0.445821, 8.162e-05, 9.73162e-07, 3.83883e-10, 1.5929e-12, 8.61322e-11, 2.35072e-11, 1.11373e-07, 0.317184, 0.146351, 1173, 1173, 0.0165364, 0.121927, 7.55683e-18, 0.116585, 0.334257, 0.410683, 1.02166e-05, 0.229757, 0.00201174, 2.72534e-10, 0.00201702, 4.2256e-05, 0.447846, 8.41988e-05, 9.44337e-07, 3.83006e-10, 1.54473e-12, 8.33191e-11, 2.29636e-11, 1.1623e-07, 0.318241, 0.0929874, 1173, 1173, 0.0159474, 0.12389, 8.66943e-18, 0.126256, 0.316873, 0.417022, 1.05385e-05, 0.224916, 0.00216655, 2.64253e-10, 0.00205927, 4.62385e-05, 0.450754, 8.82884e-05, 9.00675e-07, 3.80973e-10, 1.47914e-12, 7.98089e-11, 2.23204e-11, 1.23837e-07, 0.319968, 0.0206708, 0.229974, 1173, 
