train_loss,valid_loss,best_valid_loss,n_params,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.9995322770710233,0.9969467878341675,0.9969467878341675,87075,1785170053,,False,1,f90ff836,2026-07-27_11-34-13,3.072887659072876,3.072887659072876,183551,Rohan-Laptop,172.22.123.235,3.072887659072876,1
0.9895136824137047,0.9747137784957886,0.9747137784957886,87075,1785170054,,False,2,f90ff836,2026-07-27_11-34-14,0.5263156890869141,3.59920334815979,183551,Rohan-Laptop,172.22.123.235,3.59920334815979,2
0.9073569684088985,0.784595501422882,0.784595501422882,87075,1785170054,,False,3,f90ff836,2026-07-27_11-34-14,0.5379133224487305,4.1371166706085205,183551,Rohan-Laptop,172.22.123.235,4.1371166706085205,3
0.6420847947084452,0.4319294631481171,0.4319294631481171,87075,1785170055,,False,4,f90ff836,2026-07-27_11-34-15,0.5390796661376953,4.676196336746216,183551,Rohan-Laptop,172.22.123.235,4.676196336746216,4
0.320205708093281,0.2094997227191925,0.2094997227191925,87075,1785170055,,False,5,f90ff836,2026-07-27_11-34-15,0.5695996284484863,5.245795965194702,183551,Rohan-Laptop,172.22.123.235,5.245795965194702,5
0.15579504698892183,0.11731903851032258,0.11731903851032258,87075,1785170056,,False,6,f90ff836,2026-07-27_11-34-16,0.595923662185669,5.841719627380371,183551,Rohan-Laptop,172.22.123.235,5.841719627380371,6
0.09767268390595159,0.07999090254306793,0.07999090254306793,87075,1785170056,,False,7,f90ff836,2026-07-27_11-34-16,0.5993287563323975,6.4410483837127686,183551,Rohan-Laptop,172.22.123.235,6.4410483837127686,7
0.07220128239898742,0.06056767404079437,0.06056767404079437,87075,1785170057,,False,8,f90ff836,2026-07-27_11-34-17,0.5691854953765869,7.0102338790893555,183551,Rohan-Laptop,172.22.123.235,7.0102338790893555,8
0.06223765336260011,0.05407077595591545,0.05407077595591545,87075,1785170058,,False,9,f90ff836,2026-07-27_11-34-18,0.574878454208374,7.5851123332977295,183551,Rohan-Laptop,172.22.123.235,7.5851123332977295,9
0.05248757447057133,0.04648186415433884,0.04648186415433884,87075,1785170058,,False,10,f90ff836,2026-07-27_11-34-18,0.5913188457489014,8.17643117904663,183551,Rohan-Laptop,172.22.123.235,8.17643117904663,10
0.044182755571754675,0.04317205548286438,0.04317205548286438,87075,1785170059,,False,11,f90ff836,2026-07-27_11-34-19,0.5719327926635742,8.748363971710205,183551,Rohan-Laptop,172.22.123.235,8.748363971710205,11
0.04083233892540388,0.03700421005487442,0.03700421005487442,87075,1785170059,,False,12,f90ff836,2026-07-27_11-34-19,0.5943224430084229,9.342686414718628,183551,Rohan-Laptop,172.22.123.235,9.342686414718628,12
0.03878561803434469,0.035723985731601716,0.035723985731601716,87075,1785170060,,False,13,f90ff836,2026-07-27_11-34-20,0.5527420043945312,9.89542841911316,183551,Rohan-Laptop,172.22.123.235,9.89542841911316,13
0.035926839454641826,0.03405268639326096,0.03405268639326096,87075,1785170060,,False,14,f90ff836,2026-07-27_11-34-20,0.6315755844116211,10.52700400352478,183551,Rohan-Laptop,172.22.123.235,10.52700400352478,14
0.03344585656931129,0.030962178856134413,0.030962178856134413,87075,1785170061,,False,15,f90ff836,2026-07-27_11-34-21,0.6062338352203369,11.133237838745117,183551,Rohan-Laptop,172.22.123.235,11.133237838745117,15
0.03388379226568379,0.03033101335167885,0.03033101335167885,87075,1785170062,,False,16,f90ff836,2026-07-27_11-34-22,0.5723190307617188,11.705556869506836,183551,Rohan-Laptop,172.22.123.235,11.705556869506836,16
0.03096557653780225,0.029023735970258712,0.029023735970258712,87075,1785170062,,False,17,f90ff836,2026-07-27_11-34-22,0.5545201301574707,12.260076999664307,183551,Rohan-Laptop,172.22.123.235,12.260076999664307,17
0.028538668763977062,0.026977403089404106,0.026977403089404106,87075,1785170063,,False,18,f90ff836,2026-07-27_11-34-23,0.5629482269287109,12.823025226593018,183551,Rohan-Laptop,172.22.123.235,12.823025226593018,18
0.025151754788394216,0.02204614132642746,0.02204614132642746,87075,1785170063,,False,19,f90ff836,2026-07-27_11-34-23,0.6614623069763184,13.484487533569336,183551,Rohan-Laptop,172.22.123.235,13.484487533569336,19
0.022708788820648494,0.023693303763866424,0.02204614132642746,87075,1785170064,,False,20,f90ff836,2026-07-27_11-34-24,0.5437824726104736,14.02827000617981,183551,Rohan-Laptop,172.22.123.235,14.02827000617981,20
0.023486200484293927,0.021849006414413452,0.021849006414413452,87075,1785170065,,False,21,f90ff836,2026-07-27_11-34-25,0.6384553909301758,14.666725397109985,183551,Rohan-Laptop,172.22.123.235,14.666725397109985,21
0.024800322572641736,0.02217982932925224,0.021849006414413452,87075,1785170065,,False,22,f90ff836,2026-07-27_11-34-25,0.7511675357818604,15.417892932891846,183551,Rohan-Laptop,172.22.123.235,15.417892932891846,22
0.021992914307909676,0.019577094167470933,0.019577094167470933,87075,1785170066,,False,23,f90ff836,2026-07-27_11-34-26,0.7465181350708008,16.164411067962646,183551,Rohan-Laptop,172.22.123.235,16.164411067962646,23
