z, Pressure_0, Pressure_1, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, CH4_1, CO_1, O2_1, CO2_1, H2_1, H2O_1, AR_1, H(s)_1, O(s)_1, CH4(s)_1, H2O(s)_1, CO2(s)_1, CO(s)_1, OH(s)_1, C(s)_1, HCO(s)_1, CH(s)_1, CH3(s)_1, CH2(s)_1, COOH(s)_1, Ni(s)_1, Annular_Density, Annular_Velocity, Annular_Temperature, 
0.000526316, 1.00023e+06, 1.0002e+06, 0.142164, 1173, 1173, 0.179874, 0.0329965, 9.7496e-17, 0.0803817, 0.0248157, 0.682147, 2.27836e-05, 0.257063, 0.00744916, 4.24573e-09, 0.00427322, 2.34339e-05, 0.260195, 0.000235815, 8.41802e-08, 6.43133e-11, 1.46571e-11, 1.22358e-09, 3.78017e-10, 4.88328e-08, 0.47076, 0.14306, 1173, 1173, 0.178876, 0.0333353, 9.44458e-17, 0.0799947, 0.0251025, 0.679533, 2.27276e-05, 0.257841, 0.00731246, 4.21266e-09, 0.00424724, 2.32619e-05, 0.261083, 0.00023293, 8.61512e-08, 6.52311e-11, 1.44481e-11, 1.21169e-09, 3.72959e-10, 4.87762e-08, 0.46926, 0.0206708, 0.01, 1173, 
0.00157895, 1.00022e+06, 1.00019e+06, 0.150695, 1173, 1173, 0.144617, 0.0654416, 3.56573e-17, 0.127012, 0.038593, 0.623785, 2.27906e-05, 0.269568, 0.00378561, 2.79319e-09, 0.00319742, 2.23942e-05, 0.316454, 0.000145418, 2.31442e-07, 1.26645e-10, 8.0115e-12, 7.67207e-10, 2.10426e-10, 5.65651e-08, 0.406827, 0.147746, 1173, 1173, 0.144196, 0.0648132, 3.82357e-17, 0.129844, 0.036971, 0.622728, 2.28267e-05, 0.266668, 0.00396235, 2.83255e-09, 0.00324643, 2.35057e-05, 0.31733, 0.000149909, 2.23723e-07, 1.25643e-10, 8.23014e-12, 7.79362e-10, 2.15841e-10, 5.84789e-08, 0.408619, 0.0206708, 0.0181942, 1173, 
0.00263158, 1.0002e+06, 1.00018e+06, 0.155525, 1173, 1173, 0.12261, 0.0906625, 2.30027e-17, 0.149561, 0.0462308, 0.591438, 2.28556e-05, 0.270964, 0.0027928, 2.1431e-09, 0.00274351, 2.22315e-05, 0.34418, 0.000115698, 3.66349e-07, 1.71239e-10, 5.88922e-12, 5.84647e-10, 1.52917e-10, 6.05428e-08, 0.379181, 0.151624, 1173, 1173, 0.121724, 0.0894316, 2.5338e-17, 0.155236, 0.0433619, 0.588786, 2.28932e-05, 0.266833, 0.00298073, 2.18753e-09, 0.00280813, 2.39299e-05, 0.345937, 0.000120927, 3.5008e-07, 1.70075e-10, 6.0954e-12, 5.97056e-10, 1.58287e-10, 6.38211e-08, 0.381296, 0.0206708, 0.028326, 1173, 
0.00368421, 1.00019e+06, 1.00017e+06, 0.158531, 1173, 1173, 0.106188, 0.110341, 1.77841e-17, 0.163179, 0.0507458, 0.567333, 2.28455e-05, 0.270132, 0.00233712, 1.75502e-09, 0.00248841, 2.23611e-05, 0.361824, 0.000100799, 4.82297e-07, 2.05157e-10, 4.82505e-12, 4.79348e-10, 1.22349e-10, 6.3391e-08, 0.363096, 0.151062, 1173, 1173, 0.105227, 0.109295, 1.99148e-17, 0.17187, 0.0471872, 0.565381, 2.29741e-05, 0.265228, 0.00251825, 1.79331e-09, 0.00255711, 2.44757e-05, 0.364508, 0.000106067, 4.59657e-07, 2.04634e-10, 4.98764e-12, 4.89337e-10, 1.26823e-10, 6.77628e-08, 0.365057, 0.0206708, 0.0396153, 1173, 
0.00473684, 1.00018e+06, 1.00016e+06, 0.160397, 1173, 1173, 0.0936219, 0.126972, 1.50994e-17, 0.174228, 0.0537745, 0.551339, 2.29588e-05, 0.268525, 0.00207957, 1.48711e-09, 0.00232414, 2.26808e-05, 0.374662, 9.18915e-05, 5.81537e-07, 2.32456e-10, 4.17395e-12, 4.07875e-10, 1.02706e-10, 6.58715e-08, 0.352294, 0.152044, 1173, 1173, 0.0922001, 0.125696, 1.70242e-17, 0.184685, 0.0495228, 0.547678, 2.30678e-05, 0.263094, 0.00225456, 1.51882e-09, 0.00239429, 2.51151e-05, 0.378041, 9.71128e-05, 5.53517e-07, 2.32635e-10, 4.29786e-12, 4.15586e-10, 1.06372e-10, 7.11053e-08, 0.354094, 0.0206708, 0.0516391, 1173, 
0.00578947, 1.00017e+06, 1.00014e+06, 0.161478, 1173, 1173, 0.0829518, 0.140289, 1.34555e-17, 0.182859, 0.0554315, 0.536497, 2.29837e-05, 0.266606, 0.00191981, 1.28846e-09, 0.00221151, 2.31334e-05, 0.38463, 8.61256e-05, 6.6553e-07, 2.54983e-10, 3.73226e-12, 3.55387e-10, 8.88449e-11, 6.82088e-08, 0.344523, 0.149643, 1173, 1173, 0.0813115, 0.139076, 1.52668e-17, 0.195045, 0.050762, 0.532279, 2.31134e-05, 0.260781, 0.0020898, 1.31332e-09, 0.00228157, 2.5835e-05, 0.38857, 9.12697e-05, 6.33263e-07, 2.55892e-10, 3.8217e-12, 3.60898e-10, 9.17688e-11, 7.41602e-08, 0.346159, 0.0206708, 0.0641332, 1173, 
0.00684211, 1.00016e+06, 1.00013e+06, 0.162004, 1173, 1173, 0.0741376, 0.152013, 1.24509e-17, 0.191331, 0.0564739, 0.525844, 2.31021e-05, 0.264506, 0.00181528, 1.13199e-09, 0.00213077, 2.37063e-05, 0.392828, 8.22053e-05, 7.36813e-07, 2.74161e-10, 3.4062e-12, 3.14256e-10, 7.83129e-11, 7.05567e-08, 0.338612, 0.149375, 1173, 1173, 0.0722331, 0.150604, 1.41581e-17, 0.204692, 0.0514113, 0.52033, 2.32099e-05, 0.258389, 0.00198198, 1.15096e-09, 0.00220028, 2.66398e-05, 0.397181, 8.72866e-05, 7.00855e-07, 2.7566e-10, 3.46689e-12, 3.17923e-10, 8.06208e-11, 7.71103e-08, 0.340133, 0.0206708, 0.0769174, 1173, 
0.00789474, 1.00014e+06, 1.00012e+06, 0.16208, 1173, 1173, 0.0662909, 0.161502, 1.17672e-17, 0.198712, 0.0567186, 0.515043, 2.31438e-05, 0.262302, 0.00174616, 1.00481e-09, 0.00207181, 2.4384e-05, 0.399788, 7.95016e-05, 7.96807e-07, 2.90714e-10, 3.15276e-12, 2.80894e-10, 6.99751e-11, 7.29646e-08, 0.333987, 0.146083, 1173, 1173, 0.0643399, 0.160246, 1.34273e-17, 0.213496, 0.0515012, 0.509579, 2.32846e-05, 0.255964, 0.00191083, 1.01837e-09, 0.0021405, 2.75275e-05, 0.404448, 8.45332e-05, 7.57684e-07, 2.92675e-10, 3.18839e-12, 2.82914e-10, 7.17418e-11, 8.00389e-08, 0.335424, 0.0206708, 0.0898602, 1173, 
0.00894737, 1.00013e+06, 1.00011e+06, 0.161839, 1173, 1173, 0.0595477, 0.16993, 1.13494e-17, 0.206323, 0.0566431, 0.506769, 2.32513e-05, 0.260039, 0.00170138, 8.98208e-10, 0.0020286, 2.51551e-05, 0.405832, 7.76532e-05, 8.46774e-07, 3.05143e-10, 2.94556e-12, 2.52922e-10, 6.31158e-11, 7.54563e-08, 0.330295, 0.145167, 1173, 1173, 0.057496, 0.168605, 1.29873e-17, 0.222163, 0.0512633, 0.500703, 2.33891e-05, 0.253525, 0.0018652, 9.07063e-10, 0.00209631, 2.84975e-05, 0.410722, 8.26515e-05, 8.04914e-07, 3.07439e-10, 2.95974e-12, 2.53528e-10, 6.4419e-11, 8.29958e-08, 0.331679, 0.0206708, 0.102862, 1173, 
0.01, 1.00012e+06, 1.0001e+06, 0.161302, 1173, 1173, 0.0534414, 0.176855, 1.10813e-17, 0.213496, 0.0560886, 0.498349, 2.33084e-05, 0.257706, 0.00167426, 8.06882e-10, 0.00199683, 2.60253e-05, 0.411234, 7.64264e-05, 8.88238e-07, 3.17932e-10, 2.76984e-12, 2.28901e-10, 5.73144e-11, 7.80773e-08, 0.327286, 0.141399, 1173, 1173, 0.05134, 0.17543, 1.27051e-17, 0.230253, 0.0506308, 0.491887, 2.34497e-05, 0.251069, 0.00183836, 8.11642e-10, 0.00206371, 2.9555e-05, 0.416258, 8.14143e-05, 8.4373e-07, 3.20366e-10, 2.76529e-12, 2.28296e-10, 5.82169e-11, 8.60246e-08, 0.328659, 0.0206708, 0.115842, 1173, 
0.0110526, 1.00011e+06, 1.00009e+06, 0.160576, 1173, 1173, 0.0481468, 0.183126, 1.09738e-17, 0.221153, 0.0554184, 0.492197, 2.34413e-05, 0.255375, 0.00166122, 7.27864e-10, 0.00197468, 2.69714e-05, 0.416019, 7.57048e-05, 9.21247e-07, 3.29072e-10, 2.61657e-12, 2.08035e-10, 5.23306e-11, 8.07808e-08, 0.324866, 0.140139, 1173, 1173, 0.0458876, 0.181131, 1.25718e-17, 0.238204, 0.049779, 0.484027, 2.35177e-05, 0.248627, 0.00182641, 7.28943e-10, 0.00204053, 3.06892e-05, 0.421154, 8.06921e-05, 8.7458e-07, 3.3158e-10, 2.59567e-12, 2.06361e-10, 5.28794e-11, 8.91128e-08, 0.32624, 0.0206708, 0.128739, 1173, 
0.0121053, 1.0001e+06, 1.00008e+06, 0.159632, 1173, 1173, 0.0432125, 0.188188, 1.09457e-17, 0.228527, 0.0543732, 0.48526, 2.35091e-05, 0.252956, 0.0016589, 6.57367e-10, 0.00195906, 2.80266e-05, 0.420479, 7.53523e-05, 9.48032e-07, 3.3918e-10, 2.47775e-12, 1.89322e-10, 4.79002e-11, 8.3667e-08, 0.322843, 0.13612, 1173, 1173, 0.0410366, 0.186224, 1.25757e-17, 0.246609, 0.0488142, 0.477496, 2.36193e-05, 0.246155, 0.0018263, 6.55565e-10, 0.00202437, 3.1921e-05, 0.425609, 8.03696e-05, 8.98837e-07, 3.41479e-10, 2.44275e-12, 1.86817e-10, 4.81583e-11, 9.23244e-08, 0.324272, 0.0206708, 0.141496, 1173, 
0.0131579, 1.00008e+06, 1.00007e+06, 0.158588, 1173, 1173, 0.0388562, 0.1922, 1.10102e-17, 0.235721, 0.0531876, 0.4792, 2.35944e-05, 0.250605, 0.00166662, 5.95971e-10, 0.00195055, 2.91351e-05, 0.424389, 7.53631e-05, 9.66999e-07, 3.47699e-10, 2.35253e-12, 1.72917e-10, 4.40365e-11, 8.65857e-08, 0.321283, 0.134698, 1173, 1173, 0.0366361, 0.18996, 1.26555e-17, 0.254378, 0.0476164, 0.470639, 2.36771e-05, 0.243721, 0.00183665, 5.90971e-10, 0.00201474, 3.32221e-05, 0.429569, 8.04054e-05, 9.16235e-07, 3.49898e-10, 2.30428e-12, 1.69522e-10, 4.39993e-11, 9.55879e-08, 0.322743, 0.0206708, 0.154073, 1173, 
0.0142105, 1.00007e+06, 1.00006e+06, 0.157355, 1173, 1173, 0.0347259, 0.195617, 1.1135e-17, 0.243247, 0.0517755, 0.472703, 2.36427e-05, 0.248104, 0.00168177, 5.38546e-10, 0.0019455, 3.03831e-05, 0.428228, 7.56069e-05, 9.8202e-07, 3.5574e-10, 2.23209e-12, 1.57477e-10, 4.0412e-11, 8.97705e-08, 0.319934, 0.130564, 1173, 1173, 0.032691, 0.193577, 1.28567e-17, 0.263122, 0.046421, 0.465361, 2.37936e-05, 0.241231, 0.00185574, 5.31942e-10, 0.00200956, 3.46374e-05, 0.433272, 8.07181e-05, 9.286e-07, 3.57363e-10, 2.17374e-12, 1.53629e-10, 4.01856e-11, 9.90185e-08, 0.321515, 0.0206708, 0.166428, 1173, 
0.0152632, 1.00006e+06, 1.00005e+06, 0.156115, 1173, 1173, 0.0312975, 0.198345, 1.13684e-17, 0.250827, 0.0504549, 0.468403, 2.37709e-05, 0.245787, 0.00170533, 4.90186e-10, 0.00194691, 3.16361e-05, 0.431409, 7.61621e-05, 9.88921e-07, 3.61882e-10, 2.12439e-12, 1.4435e-10, 3.73349e-11, 9.28581e-08, 0.319043, 0.129103, 1173, 1173, 0.0290555, 0.195238, 1.30743e-17, 0.270207, 0.0449201, 0.458233, 2.37908e-05, 0.238823, 0.00188335, 4.80154e-10, 0.00200962, 3.61031e-05, 0.436505, 8.13177e-05, 9.34717e-07, 3.63358e-10, 2.05393e-12, 1.39589e-10, 3.68175e-11, 1.0245e-07, 0.32066, 0.0206708, 0.178532, 1173, 
