z, Pressure_0, Pressure_1, Pressure_2, Pressure_3, Pressure_4, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, CH4_1, CO_1, O2_1, CO2_1, H2_1, H2O_1, AR_1, H(s)_1, O(s)_1, CH4(s)_1, H2O(s)_1, CO2(s)_1, CO(s)_1, OH(s)_1, C(s)_1, HCO(s)_1, CH(s)_1, CH3(s)_1, CH2(s)_1, COOH(s)_1, Ni(s)_1, Velocity_2, GasTemperature_2, SolidTemperature_2, CH4_2, CO_2, O2_2, CO2_2, H2_2, H2O_2, AR_2, H(s)_2, O(s)_2, CH4(s)_2, H2O(s)_2, CO2(s)_2, CO(s)_2, OH(s)_2, C(s)_2, HCO(s)_2, CH(s)_2, CH3(s)_2, CH2(s)_2, COOH(s)_2, Ni(s)_2, Velocity_3_3, GasTemperature_3_3, SolidTemperature_3_3, CH4_3_3, CO_3_3, O2_3_3, CO2_3_3, H2_3_3, H2O_3_3, AR_3_3, H(s)_3_3, O(s)_3_3, CH4(s)_3_3, H2O(s)_3_3, CO2(s)_3_3, CO(s)_3_3, OH(s)_3_3, C(s)_3_3, HCO(s)_3_3, CH(s)_3_3, CH3(s)_3_3, CH2(s)_3_3, COOH(s)_3_3, Ni(s)_3_3, Velocity_4_4, GasTemperature_4_4, SolidTemperature_4_4, CH4_4_4, CO_4_4, O2_4_4, CO2_4_4, H2_4_4, H2O_4_4, AR_4_4, H(s)_4_4, O(s)_4_4, CH4(s)_4_4, H2O(s)_4_4, CO2(s)_4_4, CO(s)_4_4, OH(s)_4_4, C(s)_4_4, HCO(s)_4_4, CH(s)_4_4, CH3(s)_4_4, CH2(s)_4_4, COOH(s)_4_4, Ni(s)_4_4, 
0.000526316, 1.00024e+06, 1.00024e+06, 1.00024e+06, 1.00193e+06, 1.00156e+06, 0.141871, 1173, 1173, 0.174286, 0.0183659, 4.83691e-17, 0.0288767, 0.189424, 0.589039, 8.88487e-06, 0.256087, 0.00753591, 4.25303e-09, 0.00428372, 2.37996e-05, 0.260715, 0.000237475, 8.3666e-08, 6.43197e-11, 1.47522e-11, 1.22731e-09, 3.80201e-10, 4.9369e-08, 0.471117, 0.14179, 1173, 1173, 0.174639, 0.018306, 4.92032e-17, 0.0289858, 0.188072, 0.589988, 8.90184e-06, 0.255534, 0.00761311, 4.26769e-09, 0.00429672, 2.39647e-05, 0.260508, 0.00023905, 8.27873e-08, 6.39711e-11, 1.48595e-11, 1.23296e-09, 3.82763e-10, 4.95341e-08, 0.471785, 0.141267, 1173, 1173, 0.17576, 0.018216, 5.28075e-17, 0.0296945, 0.182694, 0.593626, 8.95667e-06, 0.253021, 0.00792197, 4.31496e-09, 0.00434323, 2.48133e-05, 0.260474, 0.000245167, 7.9921e-08, 6.30306e-11, 1.52581e-11, 1.2525e-09, 3.9218e-10, 5.05513e-08, 0.47397, 0.138884, 1173, 1173, 0.187825, 0.0144841, 7.70549e-17, 0.0238824, 0.156974, 0.616826, 9.06996e-06, 0.246437, 0.0100573, 4.84914e-09, 0.00474593, 2.5073e-05, 0.240853, 0.000288759, 5.5438e-08, 4.88966e-11, 1.86883e-11, 1.45335e-09, 4.75305e-10, 4.74153e-08, 0.497593, 0.137664, 1173, 1173, 0.188938, 0.0144952, 8.45467e-17, 0.024731, 0.150878, 0.620949, 9.1377e-06, 0.242771, 0.0105862, 4.90044e-09, 0.00479977, 2.63997e-05, 0.241433, 0.000297929, 5.32403e-08, 4.81877e-11, 1.93182e-11, 1.48102e-09, 4.89889e-10, 4.89392e-08, 0.500086, 
0.00157895, 1.00023e+06, 1.00023e+06, 1.00023e+06, 1.00185e+06, 1.00147e+06, 0.15052, 1173, 1173, 0.132377, 0.0345427, 1.64804e-17, 0.0429079, 0.280862, 0.509302, 8.40353e-06, 0.269144, 0.00379346, 2.78829e-09, 0.00319691, 2.25638e-05, 0.317057, 0.000145557, 2.32013e-07, 1.27138e-10, 8.00562e-12, 7.65886e-10, 2.10215e-10, 5.69293e-08, 0.40664, 0.150266, 1173, 1173, 0.132579, 0.0346488, 1.68004e-17, 0.0434861, 0.278687, 0.510591, 8.43113e-06, 0.268309, 0.00383573, 2.79471e-09, 0.0032075, 2.28853e-05, 0.317522, 0.000146607, 2.30522e-07, 1.27133e-10, 8.05065e-12, 7.67936e-10, 2.11303e-10, 5.75164e-08, 0.406957, 0.149058, 1173, 1173, 0.134956, 0.0339076, 1.80015e-17, 0.0438435, 0.271419, 0.515866, 8.48891e-06, 0.266758, 0.00400874, 2.86599e-09, 0.00326476, 2.34049e-05, 0.315807, 0.000151209, 2.19101e-07, 1.23694e-10, 8.34497e-12, 7.88842e-10, 2.18877e-10, 5.80521e-08, 0.409987, 0.147724, 1173, 1173, 0.147309, 0.0275838, 2.24732e-17, 0.0374174, 0.2524, 0.535281, 8.52111e-06, 0.268209, 0.00465984, 3.26428e-09, 0.00353489, 2.21618e-05, 0.296289, 0.000169637, 1.66795e-07, 1.01337e-10, 9.79663e-12, 9.05789e-10, 2.56949e-10, 5.30633e-08, 0.427116, 0.144456, 1173, 1173, 0.151948, 0.0270323, 2.85393e-17, 0.0402704, 0.230381, 0.550359, 8.77618e-06, 0.260543, 0.00533801, 3.42294e-09, 0.00369475, 2.48664e-05, 0.295849, 0.000185621, 1.47571e-07, 9.64358e-11, 1.07242e-11, 9.57981e-10, 2.7962e-10, 5.6879e-08, 0.434365, 
0.00263158, 1.00022e+06, 1.00022e+06, 1.00021e+06, 1.00176e+06, 1.00138e+06, 0.155846, 1173, 1173, 0.108731, 0.046296, 1.00917e-17, 0.0483411, 0.329381, 0.467243, 8.13815e-06, 0.271431, 0.0027637, 2.13281e-09, 0.00273131, 2.20401e-05, 0.344244, 0.000114838, 3.69917e-07, 1.71844e-10, 5.85071e-12, 5.81783e-10, 1.51875e-10, 6.02014e-08, 0.378693, 0.155319, 1173, 1173, 0.10931, 0.0462303, 1.0328e-17, 0.0488442, 0.32659, 0.469018, 8.16588e-06, 0.270723, 0.00280252, 2.1477e-09, 0.0027462, 2.23179e-05, 0.344272, 0.000115956, 3.65482e-07, 1.71153e-10, 5.90597e-12, 5.8586e-10, 1.53358e-10, 6.07014e-08, 0.379317, 0.154389, 1173, 1173, 0.112463, 0.0447409, 1.10418e-17, 0.0486203, 0.319524, 0.474644, 8.20479e-06, 0.270152, 0.00292453, 2.22923e-09, 0.00280377, 2.25385e-05, 0.341298, 0.000119688, 3.45007e-07, 1.65289e-10, 6.1581e-12, 6.08282e-10, 1.60326e-10, 6.06361e-08, 0.382679, 0.153383, 1173, 1173, 0.124012, 0.037461, 1.29321e-17, 0.0428806, 0.304962, 0.490676, 8.20855e-06, 0.273454, 0.00327946, 2.54886e-09, 0.00300543, 2.11911e-05, 0.32392, 0.000131222, 2.76626e-07, 1.40302e-10, 7.09551e-12, 6.97366e-10, 1.86368e-10, 5.57464e-08, 0.396189, 0.145496, 1173, 1173, 0.1308, 0.0368437, 1.83582e-17, 0.0487474, 0.2687, 0.514901, 8.65944e-06, 0.262585, 0.00399627, 2.74966e-09, 0.00322572, 2.53835e-05, 0.324642, 0.000150069, 2.33708e-07, 1.32456e-10, 8.05212e-12, 7.56828e-10, 2.10623e-10, 6.26766e-08, 0.405375, 
0.00368421, 1.0002e+06, 1.0002e+06, 1.0002e+06, 1.00166e+06, 1.0013e+06, 0.159538, 1173, 1173, 0.0926676, 0.0554362, 7.44e-18, 0.0510901, 0.360862, 0.439937, 7.96284e-06, 0.271708, 0.00227159, 1.7384e-09, 0.00245946, 2.1695e-05, 0.361269, 9.87964e-05, 4.92779e-07, 2.05978e-10, 4.76343e-12, 4.74992e-10, 1.20588e-10, 6.20184e-08, 0.362171, 0.159153, 1173, 1173, 0.0935458, 0.0551278, 7.61117e-18, 0.0513825, 0.358125, 0.441811, 7.98298e-06, 0.271278, 0.00230382, 1.75878e-09, 0.00247543, 2.18803e-05, 0.360844, 9.98172e-05, 4.85341e-07, 2.04508e-10, 4.82067e-12, 4.80396e-10, 1.22249e-10, 6.23106e-08, 0.362977, 0.158079, 1173, 1173, 0.0969767, 0.0531436, 8.09429e-18, 0.0507521, 0.352077, 0.447042, 8.00354e-06, 0.271388, 0.00239237, 1.83962e-09, 0.00252718, 2.1903e-05, 0.357338, 0.000102775, 4.58684e-07, 1.97227e-10, 5.03112e-12, 5.02092e-10, 1.2842e-10, 6.18476e-08, 0.366229, 0.157703, 1173, 1173, 0.107481, 0.045659, 9.13907e-18, 0.04578, 0.340573, 0.460499, 7.99462e-06, 0.275127, 0.00262404, 2.10312e-09, 0.00268528, 2.06692e-05, 0.342215, 0.000110952, 3.81799e-07, 1.72036e-10, 5.70559e-12, 5.73867e-10, 1.48117e-10, 5.74476e-08, 0.377217, 0.146711, 1173, 1173, 0.116316, 0.0449164, 1.44465e-17, 0.0547942, 0.290331, 0.493634, 8.64448e-06, 0.261444, 0.00339654, 2.34202e-09, 0.00296202, 2.63041e-05, 0.343733, 0.000132576, 3.07425e-07, 1.60762e-10, 6.69227e-12, 6.4087e-10, 1.74125e-10, 6.74995e-08, 0.388306, 
0.00473684, 1.00019e+06, 1.00019e+06, 1.00019e+06, 1.00157e+06, 1.00121e+06, 0.162407, 1173, 1173, 0.080966, 0.0625853, 6.02509e-18, 0.0525278, 0.383522, 0.420391, 7.83083e-06, 0.271625, 0.00198059, 1.47288e-09, 0.002279, 2.13565e-05, 0.3728, 8.88029e-05, 5.99926e-07, 2.32468e-10, 4.11724e-12, 4.04557e-10, 1.00923e-10, 6.29344e-08, 0.351204, 0.161954, 1173, 1173, 0.0820557, 0.0620386, 6.14304e-18, 0.052602, 0.381063, 0.422232, 7.84224e-06, 0.271458, 0.00200731, 1.49659e-09, 0.00229494, 2.14554e-05, 0.37201, 8.97119e-05, 5.89834e-07, 2.30295e-10, 4.17361e-12, 4.10769e-10, 1.02662e-10, 6.3023e-08, 0.352118, 0.161192, 1173, 1173, 0.0857299, 0.0595939, 6.47139e-18, 0.0516508, 0.375824, 0.427193, 7.84992e-06, 0.272064, 0.00207814, 1.57798e-09, 0.00234325, 2.13367e-05, 0.368044, 9.22366e-05, 5.57412e-07, 2.21714e-10, 4.36115e-12, 4.32338e-10, 1.08452e-10, 6.2243e-08, 0.355356, 0.160894, 1173, 1173, 0.0949962, 0.0525011, 7.15633e-18, 0.0475258, 0.366491, 0.438478, 7.83986e-06, 0.275596, 0.00224221, 1.79487e-09, 0.00246889, 2.03085e-05, 0.355301, 9.83434e-05, 4.78973e-07, 1.98134e-10, 4.86411e-12, 4.90597e-10, 1.23806e-10, 5.85454e-08, 0.364272, 0.144887, 1173, 1173, 0.105113, 0.0520121, 1.2524e-17, 0.0601781, 0.303128, 0.47956, 8.69461e-06, 0.259093, 0.00306533, 2.05259e-09, 0.00279073, 2.74895e-05, 0.35828, 0.00012225, 3.70955e-07, 1.84467e-10, 5.83115e-12, 5.60394e-10, 1.50292e-10, 7.20703e-08, 0.376621, 
0.00578947, 1.00018e+06, 1.00018e+06, 1.00018e+06, 1.00147e+06, 1.00112e+06, 0.164707, 1173, 1173, 0.0716694, 0.068572, 5.10602e-18, 0.0534059, 0.401196, 0.405149, 7.72523e-06, 0.271374, 0.00178243, 1.27354e-09, 0.00214545, 2.10588e-05, 0.381529, 8.1738e-05, 6.96868e-07, 2.54465e-10, 3.68041e-12, 3.52441e-10, 8.68912e-11, 6.34683e-08, 0.343066, 0.164452, 1173, 1173, 0.0728923, 0.0678214, 5.20106e-18, 0.0532892, 0.399111, 0.406878, 7.72934e-06, 0.271429, 0.00180444, 1.29891e-09, 0.00216066, 2.10854e-05, 0.380472, 8.25322e-05, 6.84673e-07, 2.51731e-10, 3.734e-12, 3.59046e-10, 8.86321e-11, 6.33835e-08, 0.34403, 0.163648, 1173, 1173, 0.076518, 0.0651768, 5.43646e-18, 0.0521924, 0.394717, 0.411388, 7.72877e-06, 0.272301, 0.00186095, 1.37549e-09, 0.00220379, 2.08974e-05, 0.376477, 8.46468e-05, 6.49268e-07, 2.42692e-10, 3.89443e-12, 3.79159e-10, 9.38232e-11, 6.24723e-08, 0.347051, 0.163642, 1173, 1173, 0.0850007, 0.058354, 5.93819e-18, 0.0486644, 0.386633, 0.42134, 7.72023e-06, 0.275609, 0.00198864, 1.56363e-09, 0.00230977, 2.0019e-05, 0.365291, 8.95817e-05, 5.68971e-07, 2.20211e-10, 4.29628e-12, 4.29153e-10, 1.06617e-10, 5.92697e-08, 0.354691, 0.144374, 1173, 1173, 0.0958748, 0.0583924, 1.1407e-17, 0.0651962, 0.310921, 0.469607, 8.78088e-06, 0.256356, 0.0028592, 1.82898e-09, 0.00266973, 2.87854e-05, 0.37001, 0.000115481, 4.26087e-07, 2.0489e-10, 5.21574e-12, 4.98993e-10, 1.32864e-10, 7.64249e-08, 0.36796, 
0.00684211, 1.00017e+06, 1.00017e+06, 1.00017e+06, 1.00137e+06, 1.00103e+06, 0.166628, 1173, 1173, 0.0646214, 0.0732172, 4.5067e-18, 0.053804, 0.414799, 0.393551, 7.6388e-06, 0.271221, 0.00164602, 1.12867e-09, 0.0020484, 2.07648e-05, 0.387781, 7.67513e-05, 7.78397e-07, 2.71547e-10, 3.39004e-12, 3.15023e-10, 7.70653e-11, 6.3633e-08, 0.337206, 0.166298, 1173, 1173, 0.0658923, 0.0723451, 4.58228e-18, 0.053574, 0.413014, 0.395167, 7.63899e-06, 0.271409, 0.00166466, 1.15415e-09, 0.00206269, 2.07498e-05, 0.386597, 7.74532e-05, 7.64869e-07, 2.68499e-10, 3.43952e-12, 3.21623e-10, 7.8743e-11, 6.345e-08, 0.338168, 0.165676, 1173, 1173, 0.0694939, 0.0695506, 4.72098e-18, 0.0524172, 0.409129, 0.399402, 7.63531e-06, 0.272434, 0.00171296, 1.22762e-09, 0.00210257, 2.05268e-05, 0.382597, 7.93248e-05, 7.26849e-07, 2.59102e-10, 3.58239e-12, 3.40786e-10, 8.35588e-11, 6.24728e-08, 0.341053, 0.165753, 1173, 1173, 0.0769884, 0.063322, 5.14655e-18, 0.0494699, 0.402166, 0.408046, 7.63021e-06, 0.275349, 0.00181379, 1.38724e-09, 0.00219109, 1.98121e-05, 0.373079, 8.33264e-05, 6.49506e-07, 2.38709e-10, 3.90101e-12, 3.82852e-10, 9.40994e-11, 5.98191e-08, 0.347464, 0.141367, 1173, 1173, 0.0883828, 0.0639658, 1.08695e-17, 0.0702091, 0.314202, 0.463231, 8.90343e-06, 0.253318, 0.00274355, 1.65728e-09, 0.00258853, 3.02559e-05, 0.379497, 0.000111388, 4.69968e-07, 2.21767e-10, 4.77315e-12, 4.5218e-10, 1.20112e-10, 8.07459e-08, 0.361711, 
0.00736842, 1.00016e+06, 1.00016e+06, 1.00016e+06, 1.00132e+06, 1.00099e+06, 0.16747, 1173, 1173, 0.0614611, 0.0753298, 4.27148e-18, 0.0539291, 0.420909, 0.388364, 7.59922e-06, 0.271151, 0.00158869, 1.06538e-09, 0.00200616, 2.06199e-05, 0.390493, 7.46213e-05, 8.17279e-07, 2.79309e-10, 3.27088e-12, 2.98801e-10, 7.28753e-11, 6.36518e-08, 0.334665, 0.167272, 1173, 1173, 0.0627836, 0.0743793, 4.32149e-18, 0.0536493, 0.419214, 0.389966, 7.59821e-06, 0.271402, 0.00160641, 1.09151e-09, 0.00202037, 2.05867e-05, 0.389225, 7.53014e-05, 8.0278e-07, 2.76039e-10, 3.31975e-12, 3.05553e-10, 7.45665e-11, 6.34214e-08, 0.33565, 0.166598, 1173, 1173, 0.0662746, 0.071601, 4.49794e-18, 0.0524983, 0.415629, 0.393989, 7.59357e-06, 0.272451, 0.00165038, 1.16163e-09, 0.00205792, 2.03599e-05, 0.385344, 7.70311e-05, 7.64588e-07, 2.66756e-10, 3.45148e-12, 3.23787e-10, 7.90978e-11, 6.24546e-08, 0.338398, 0.1667, 1173, 1173, 0.0734434, 0.065569, 4.8368e-18, 0.0497932, 0.40895, 0.402236, 7.59102e-06, 0.275206, 0.00174281, 1.31163e-09, 0.00214074, 1.97116e-05, 0.376409, 8.07358e-05, 6.87603e-07, 2.47039e-10, 3.74149e-12, 3.63156e-10, 8.8879e-11, 6.00132e-08, 0.3444, 0.141239, 1173, 1173, 0.0850099, 0.0665439, 1.06877e-17, 0.0726367, 0.315118, 0.460683, 8.96872e-06, 0.251848, 0.00270088, 1.58245e-09, 0.00255559, 3.0985e-05, 0.383655, 0.000109813, 4.89445e-07, 2.29357e-10, 4.58537e-12, 4.31845e-10, 1.14661e-10, 8.28091e-08, 0.359099, 
0.00763158, 1.00016e+06, 1.00016e+06, 1.00016e+06, 1.0013e+06, 1.00096e+06, 0.167906, 1173, 1173, 0.0599503, 0.0763532, 4.14928e-18, 0.0539854, 0.423809, 0.385894, 7.58056e-06, 0.271109, 0.00156217, 1.03546e-09, 0.00198626, 2.05512e-05, 0.391782, 7.3628e-05, 8.3641e-07, 2.83058e-10, 3.2163e-12, 2.9116e-10, 7.09179e-11, 6.36577e-08, 0.333466, 0.167617, 1173, 1173, 0.0612887, 0.075366, 4.21608e-18, 0.0536802, 0.42217, 0.387487, 7.57874e-06, 0.27139, 0.0015794, 1.06173e-09, 0.0020004, 2.05091e-05, 0.390476, 7.42958e-05, 8.21469e-07, 2.79688e-10, 3.2645e-12, 2.97941e-10, 7.26048e-11, 6.34045e-08, 0.334459, 0.167016, 1173, 1173, 0.0647409, 0.0725931, 4.37472e-18, 0.0525379, 0.418694, 0.391426, 7.57424e-06, 0.272445, 0.00162164, 1.13056e-09, 0.00203699, 2.02826e-05, 0.386648, 7.59683e-05, 7.83103e-07, 2.70445e-10, 3.3917e-12, 3.15809e-10, 7.70232e-11, 6.24463e-08, 0.337151, 0.167173, 1173, 1173, 0.0717409, 0.0666597, 4.69659e-18, 0.0499448, 0.412177, 0.39947, 7.57249e-06, 0.275128, 0.00171008, 1.27583e-09, 0.00211706, 1.96628e-05, 0.377987, 7.95307e-05, 7.06434e-07, 2.51072e-10, 3.66809e-12, 3.53862e-10, 8.6438e-11, 6.00993e-08, 0.342957, 0.139699, 1173, 1173, 0.0832821, 0.0678843, 1.06105e-17, 0.0739245, 0.315446, 0.459454, 9.00432e-06, 0.251068, 0.00268118, 1.54467e-09, 0.00253953, 3.13781e-05, 0.385766, 0.000109067, 4.99334e-07, 2.33247e-10, 4.49162e-12, 4.21591e-10, 1.11932e-10, 8.3902e-08, 0.357804, 
0.00789474, 1.00016e+06, 1.00016e+06, 1.00016e+06, 1.00127e+06, 1.00094e+06, 0.168278, 1173, 1173, 0.0585321, 0.077314, 4.04697e-18, 0.0540228, 0.426561, 0.383562, 7.56255e-06, 0.271077, 0.00153755, 1.00758e-09, 0.00196764, 2.04819e-05, 0.392974, 7.27023e-05, 8.54738e-07, 2.86585e-10, 3.16642e-12, 2.84057e-10, 6.91055e-11, 6.36482e-08, 0.33235, 0.168112, 1173, 1173, 0.059861, 0.0763166, 4.11046e-18, 0.0537016, 0.424997, 0.385117, 7.5602e-06, 0.271376, 0.00155403, 1.03349e-09, 0.00198143, 2.04342e-05, 0.391666, 7.33465e-05, 8.39695e-07, 2.832e-10, 3.21317e-12, 2.90738e-10, 7.07575e-11, 6.33837e-08, 0.333328, 0.167442, 1173, 1173, 0.0632945, 0.073529, 4.26184e-18, 0.0525653, 0.421594, 0.38901, 7.55575e-06, 0.272443, 0.00159503, 1.10149e-09, 0.00201743, 2.0207e-05, 0.387861, 7.49795e-05, 8.00869e-07, 2.73929e-10, 3.33679e-12, 3.08361e-10, 7.50953e-11, 6.24279e-08, 0.335987, 0.167604, 1173, 1173, 0.0701025, 0.0677231, 4.56596e-18, 0.0500853, 0.41525, 0.396832, 7.55497e-06, 0.275041, 0.00167946, 1.24166e-09, 0.00209459, 1.96183e-05, 0.379504, 7.83959e-05, 7.24915e-07, 2.54989e-10, 3.59939e-12, 3.45012e-10, 8.41279e-11, 6.01855e-08, 0.341582, 0.14009, 1173, 1173, 0.0816756, 0.0691435, 1.05508e-17, 0.0751708, 0.315613, 0.458388, 9.0401e-06, 0.250311, 0.00266482, 1.50989e-09, 0.00252531, 3.17646e-05, 0.387723, 0.000108429, 5.08363e-07, 2.36852e-10, 4.4061e-12, 4.12159e-10, 1.09439e-10, 8.49566e-08, 0.356635, 
0.00802632, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00126e+06, 1.00093e+06, 0.1685, 1173, 1173, 0.0578392, 0.077785, 3.99797e-18, 0.0540386, 0.427904, 0.382426, 7.55372e-06, 0.27106, 0.0015257, 9.94031e-10, 0.00195861, 2.04478e-05, 0.393553, 7.22553e-05, 8.63799e-07, 2.88313e-10, 3.14253e-12, 2.8061e-10, 6.82291e-11, 6.3642e-08, 0.331808, 0.168222, 1173, 1173, 0.0591732, 0.0767759, 4.05986e-18, 0.0537095, 0.426365, 0.383969, 7.55125e-06, 0.27137, 0.00154191, 1.01995e-09, 0.00197231, 2.03969e-05, 0.392235, 7.28917e-05, 8.48615e-07, 2.84898e-10, 3.18893e-12, 2.87291e-10, 6.98763e-11, 6.33696e-08, 0.332786, 0.167639, 1173, 1173, 0.0625819, 0.0739929, 4.20707e-18, 0.0525784, 0.42301, 0.387829, 7.54673e-06, 0.272438, 0.00158218, 1.08724e-09, 0.00200789, 2.01706e-05, 0.388457, 7.45003e-05, 8.09714e-07, 2.75652e-10, 3.31027e-12, 3.04718e-10, 7.41563e-11, 6.24202e-08, 0.335419, 0.167826, 1173, 1173, 0.0693066, 0.0682412, 4.50522e-18, 0.0501517, 0.416736, 0.395557, 7.54646e-06, 0.274998, 0.00166486, 1.22517e-09, 0.00208379, 1.95964e-05, 0.380235, 7.7853e-05, 7.34e-07, 2.56896e-10, 3.56669e-12, 3.40748e-10, 8.30194e-11, 6.02251e-08, 0.34092, 0.13882, 1173, 1173, 0.0808759, 0.069774, 1.05238e-17, 0.0758045, 0.315659, 0.457878, 9.05851e-06, 0.249928, 0.0026572, 1.4927e-09, 0.00251843, 3.19624e-05, 0.388692, 0.000108127, 5.12814e-07, 2.38643e-10, 4.36402e-12, 4.07499e-10, 1.08212e-10, 8.54912e-08, 0.356064, 
