train_loss,valid_loss,best_valid_loss,n_params,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.9946220947217338,0.9851884603500366,0.9851884603500366,33603,1785170121,,False,1,df5ca1a1,2026-07-27_11-35-21,3.0268285274505615,3.0268285274505615,184889,Rohan-Laptop,172.22.123.235,3.0268285274505615,1
0.9605274539959582,0.9062397956848145,0.9062397956848145,33603,1785170122,,False,2,df5ca1a1,2026-07-27_11-35-22,0.5784063339233398,3.6052348613739014,184889,Rohan-Laptop,172.22.123.235,3.6052348613739014,2
0.7486072718342648,0.5144169092178345,0.5144169092178345,33603,1785170122,,False,3,df5ca1a1,2026-07-27_11-35-22,0.49196910858154297,4.097203969955444,184889,Rohan-Laptop,172.22.123.235,4.097203969955444,3
0.38363147687308397,0.27826528549194335,0.27826528549194335,33603,1785170123,,False,4,df5ca1a1,2026-07-27_11-35-23,0.5341663360595703,4.631370306015015,184889,Rohan-Laptop,172.22.123.235,4.631370306015015,4
0.21309439611585834,0.15098828077316284,0.15098828077316284,33603,1785170123,,False,5,df5ca1a1,2026-07-27_11-35-23,0.49590301513671875,5.127273321151733,184889,Rohan-Laptop,172.22.123.235,5.127273321151733,5
0.12789037861401523,0.10114651173353195,0.10114651173353195,33603,1785170124,,False,6,df5ca1a1,2026-07-27_11-35-24,0.49951767921447754,5.626791000366211,184889,Rohan-Laptop,172.22.123.235,5.626791000366211,6
0.08761545534752592,0.0693860799074173,0.0693860799074173,33603,1785170124,,False,7,df5ca1a1,2026-07-27_11-35-24,0.474926233291626,6.101717233657837,184889,Rohan-Laptop,172.22.123.235,6.101717233657837,7
0.06641739229612713,0.05667924880981445,0.05667924880981445,33603,1785170125,,False,8,df5ca1a1,2026-07-27_11-35-25,0.5508754253387451,6.652592658996582,184889,Rohan-Laptop,172.22.123.235,6.652592658996582,8
0.0661806862188291,0.06036311239004135,0.05667924880981445,33603,1785170125,,False,9,df5ca1a1,2026-07-27_11-35-25,0.5043237209320068,7.156916379928589,184889,Rohan-Laptop,172.22.123.235,7.156916379928589,9
0.05596222030588343,0.05106692761182785,0.05106692761182785,33603,1785170126,,False,10,df5ca1a1,2026-07-27_11-35-26,0.5179641246795654,7.674880504608154,184889,Rohan-Laptop,172.22.123.235,7.674880504608154,10
0.05031090055274058,0.04705251753330231,0.04705251753330231,33603,1785170126,,False,11,df5ca1a1,2026-07-27_11-35-26,0.5234060287475586,8.198286533355713,184889,Rohan-Laptop,172.22.123.235,8.198286533355713,11
0.04777627664653561,0.045807051658630374,0.045807051658630374,33603,1785170127,,False,12,df5ca1a1,2026-07-27_11-35-27,0.6425848007202148,8.840871334075928,184889,Rohan-Laptop,172.22.123.235,8.840871334075928,12
0.04489844895993607,0.04491376131772995,0.04491376131772995,33603,1785170128,,False,13,df5ca1a1,2026-07-27_11-35-28,0.7700328826904297,9.610904216766357,184889,Rohan-Laptop,172.22.123.235,9.610904216766357,13
0.04516999612126169,0.04413270801305771,0.04413270801305771,33603,1785170128,,False,14,df5ca1a1,2026-07-27_11-35-28,0.6863536834716797,10.297257900238037,184889,Rohan-Laptop,172.22.123.235,10.297257900238037,14
0.0430857021408745,0.04182818755507469,0.04182818755507469,33603,1785170129,,False,15,df5ca1a1,2026-07-27_11-35-29,0.7149860858917236,11.01224398612976,184889,Rohan-Laptop,172.22.123.235,11.01224398612976,15
0.04426983979683888,0.041196002066135405,0.041196002066135405,33603,1785170130,,False,16,df5ca1a1,2026-07-27_11-35-30,0.6107048988342285,11.62294888496399,184889,Rohan-Laptop,172.22.123.235,11.62294888496399,16
