z, Pressure_0, Pressure_1, Pressure_2, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, CH4_1, CO_1, O2_1, CO2_1, H2_1, H2O_1, AR_1, H(s)_1, O(s)_1, CH4(s)_1, H2O(s)_1, CO2(s)_1, CO(s)_1, OH(s)_1, C(s)_1, HCO(s)_1, CH(s)_1, CH3(s)_1, CH2(s)_1, COOH(s)_1, Ni(s)_1, Velocity_2, GasTemperature_2, SolidTemperature_2, CH4_2, CO_2, O2_2, CO2_2, H2_2, H2O_2, AR_2, H(s)_2, O(s)_2, CH4(s)_2, H2O(s)_2, CO2(s)_2, CO(s)_2, OH(s)_2, C(s)_2, HCO(s)_2, CH(s)_2, CH3(s)_2, CH2(s)_2, COOH(s)_2, Ni(s)_2, 
0.000526316, 1.00023e+06, 1.00022e+06, 1.00019e+06, 0.142096, 1173, 1173, 0.174221, 0.0183011, 4.77066e-17, 0.0285204, 0.190508, 0.58844, 8.86518e-06, 0.256734, 0.00748296, 4.25e-09, 0.00427792, 2.35486e-05, 0.260283, 0.000236479, 8.39037e-08, 6.42537e-11, 1.46981e-11, 1.22543e-09, 3.78975e-10, 4.89878e-08, 0.470962, 0.142153, 1173, 1173, 0.174127, 0.0182969, 4.73649e-17, 0.0283698, 0.191086, 0.588111, 8.85863e-06, 0.257022, 0.00745328, 4.24605e-09, 0.00427385, 2.34497e-05, 0.260213, 0.000235897, 8.4151e-08, 6.43108e-11, 1.46615e-11, 1.22376e-09, 3.78117e-10, 4.88559e-08, 0.470778, 0.143065, 1173, 1173, 0.173492, 0.0185356, 4.67236e-17, 0.028582, 0.192118, 0.587264, 8.86383e-06, 0.257083, 0.00738455, 4.22012e-09, 0.00425717, 2.35359e-05, 0.261384, 0.000234348, 8.56115e-08, 6.51633e-11, 1.45304e-11, 1.21517e-09, 3.74867e-10, 4.91668e-08, 0.469633, 
0.00157895, 1.00022e+06, 1.00021e+06, 1.00018e+06, 0.150797, 1173, 1173, 0.132356, 0.0343991, 1.62471e-17, 0.0423673, 0.282356, 0.508513, 8.37722e-06, 0.269798, 0.00376672, 2.78718e-09, 0.00319122, 2.23112e-05, 0.316527, 0.000144914, 2.32583e-07, 1.26916e-10, 7.98417e-12, 7.65414e-10, 2.09729e-10, 5.64415e-08, 0.40655, 0.150455, 1173, 1173, 0.132697, 0.0344139, 1.66317e-17, 0.0428006, 0.279945, 0.510135, 8.41292e-06, 0.268993, 0.00381624, 2.79801e-09, 0.00320557, 2.2614e-05, 0.316735, 0.000146191, 2.30266e-07, 1.26592e-10, 8.04427e-12, 7.68752e-10, 2.11221e-10, 5.69631e-08, 0.40708, 0.146797, 1173, 1173, 0.133985, 0.0345988, 1.81818e-17, 0.0445793, 0.270812, 0.516016, 8.54341e-06, 0.265746, 0.00400822, 2.83769e-09, 0.00325689, 2.3877e-05, 0.317917, 0.000151017, 2.22391e-07, 1.25731e-10, 8.27485e-12, 7.81121e-10, 2.169e-10, 5.91571e-08, 0.408897, 
0.00263158, 1.0002e+06, 1.0002e+06, 1.00017e+06, 0.155842, 1173, 1173, 0.108849, 0.0461892, 1.0087e-17, 0.0481329, 0.329351, 0.46747, 8.13976e-06, 0.271521, 0.00276636, 2.13593e-09, 0.00273365, 2.20098e-05, 0.344003, 0.000114942, 3.6899e-07, 1.71502e-10, 5.85862e-12, 5.82663e-10, 1.52108e-10, 6.01162e-08, 0.378839, 0.155063, 1173, 1173, 0.109334, 0.0463556, 1.05104e-17, 0.0492303, 0.324631, 0.470441, 8.21224e-06, 0.270063, 0.00282959, 2.14937e-09, 0.00275607, 2.25937e-05, 0.344678, 0.000116724, 3.63377e-07, 1.71195e-10, 5.92358e-12, 5.86401e-10, 1.53801e-10, 6.12677e-08, 0.379533, 0.150588, 1173, 1173, 0.110897, 0.0468532, 1.18413e-17, 0.052339, 0.311233, 0.47867, 8.41069e-06, 0.265821, 0.00301883, 2.19151e-09, 0.00281896, 2.43614e-05, 0.346661, 0.000121932, 3.47891e-07, 1.70309e-10, 6.1263e-12, 5.98209e-10, 1.59048e-10, 6.46854e-08, 0.381534, 
0.00368421, 1.00019e+06, 1.00019e+06, 1.00016e+06, 0.158986, 1173, 1173, 0.0930013, 0.0554629, 7.66013e-18, 0.0516575, 0.357565, 0.442305, 8.02174e-06, 0.270865, 0.00230831, 1.74724e-09, 0.00247635, 2.20556e-05, 0.361517, 9.99331e-05, 4.86618e-07, 2.05436e-10, 4.79623e-12, 4.7732e-10, 1.21536e-10, 6.27611e-08, 0.36271, 0.157887, 1173, 1173, 0.0935035, 0.0558179, 8.07519e-18, 0.0533103, 0.351217, 0.446143, 8.12237e-06, 0.268985, 0.00237514, 1.76018e-09, 0.00250282, 2.28391e-05, 0.362578, 0.00010191, 4.77854e-07, 2.05315e-10, 4.8523e-12, 4.80646e-10, 1.23094e-10, 6.44118e-08, 0.363433, 0.148966, 1173, 1173, 0.0949148, 0.0567799, 9.22627e-18, 0.0574834, 0.335374, 0.455439, 8.36716e-06, 0.264145, 0.00255172, 1.79552e-09, 0.00256753, 2.49578e-05, 0.365371, 0.000106986, 4.56937e-07, 2.05089e-10, 5.00781e-12, 4.89876e-10, 1.27341e-10, 6.8783e-08, 0.365232, 
0.00473684, 1.00018e+06, 1.00018e+06, 1.00015e+06, 0.160963, 1173, 1173, 0.0812163, 0.0631343, 6.42212e-18, 0.054466, 0.375659, 0.425516, 7.97664e-06, 0.269391, 0.00205101, 1.48053e-09, 0.00231161, 2.23088e-05, 0.374188, 9.10119e-05, 5.86874e-07, 2.32576e-10, 4.15152e-12, 4.06261e-10, 1.02026e-10, 6.50644e-08, 0.351944, 0.159599, 1173, 1173, 0.0816486, 0.0637077, 6.82365e-18, 0.0565925, 0.368171, 0.429872, 8.09849e-06, 0.267207, 0.00211822, 1.49128e-09, 0.00233978, 2.32489e-05, 0.375595, 9.3053e-05, 5.75628e-07, 2.32785e-10, 4.19459e-12, 4.08793e-10, 1.03327e-10, 6.71276e-08, 0.352623, 0.149797, 1173, 1173, 0.082858, 0.0650969, 7.87097e-18, 0.0615974, 0.350682, 0.439757, 8.37643e-06, 0.261982, 0.00228547, 1.52029e-09, 0.00240454, 2.56295e-05, 0.378956, 9.79851e-05, 5.50165e-07, 2.33202e-10, 4.31187e-12, 4.15847e-10, 1.06762e-10, 7.22238e-08, 0.354249, 
0.00578947, 1.00017e+06, 1.00017e+06, 1.00014e+06, 0.162117, 1173, 1173, 0.0719385, 0.069709, 5.71144e-18, 0.0570541, 0.387451, 0.413839, 7.97852e-06, 0.267549, 0.00189136, 1.28246e-09, 0.00219856, 2.27152e-05, 0.384072, 8.52343e-05, 6.71963e-07, 2.55037e-10, 3.71436e-12, 3.53995e-10, 8.82462e-11, 6.72792e-08, 0.34418, 0.160575, 1173, 1173, 0.0722976, 0.0704678, 6.09987e-18, 0.0595613, 0.37914, 0.418525, 8.11648e-06, 0.265161, 0.00195837, 1.29127e-09, 0.00222762, 2.37758e-05, 0.385716, 8.73025e-05, 6.58498e-07, 2.5551e-10, 3.74591e-12, 3.55853e-10, 8.93219e-11, 6.96616e-08, 0.344826, 0.146321, 1173, 1173, 0.0732525, 0.0722674, 7.07782e-18, 0.0652754, 0.360502, 0.428694, 8.42039e-06, 0.259652, 0.00211859, 1.31383e-09, 0.00229134, 2.63756e-05, 0.389532, 9.20926e-05, 6.29532e-07, 2.56584e-10, 3.83015e-12, 3.60851e-10, 9.20359e-11, 7.53573e-08, 0.346286, 
0.00684211, 1.00016e+06, 1.00016e+06, 1.00013e+06, 0.162699, 1173, 1173, 0.0643293, 0.0754835, 5.27815e-18, 0.0596091, 0.394978, 0.405592, 8.01636e-06, 0.265521, 0.00178731, 1.12721e-09, 0.00211792, 2.32438e-05, 0.392166, 8.13232e-05, 7.43867e-07, 2.74066e-10, 3.39366e-12, 3.13244e-10, 7.78321e-11, 6.95089e-08, 0.338303, 0.161008, 1173, 1173, 0.0645781, 0.0764385, 5.65726e-18, 0.0624633, 0.386064, 0.410448, 8.1671e-06, 0.262966, 0.00185369, 1.13354e-09, 0.00214701, 2.44119e-05, 0.394032, 8.33864e-05, 7.28841e-07, 2.74862e-10, 3.41363e-12, 3.14319e-10, 7.86605e-11, 7.21739e-08, 0.338893, 0.145894, 1173, 1173, 0.0652914, 0.0785925, 6.59207e-18, 0.0687965, 0.366568, 0.420743, 8.49094e-06, 0.257252, 0.00200917, 1.15057e-09, 0.00220953, 2.7203e-05, 0.398177, 8.80676e-05, 6.96864e-07, 2.76459e-10, 3.47073e-12, 3.17603e-10, 8.07839e-11, 7.83705e-08, 0.340237, 
0.00789474, 1.00014e+06, 1.00014e+06, 1.00011e+06, 0.162819, 1173, 1173, 0.0579039, 0.0806837, 5.01395e-18, 0.0622436, 0.399411, 0.39975, 8.07896e-06, 0.263361, 0.00171824, 1.00076e-09, 0.0020589, 2.3885e-05, 0.399072, 7.86176e-05, 8.04613e-07, 2.9056e-10, 3.14417e-12, 2.80118e-10, 6.95729e-11, 7.1825e-08, 0.333686, 0.16103, 1173, 1173, 0.058068, 0.0817851, 5.38917e-18, 0.0653882, 0.390039, 0.404712, 8.23986e-06, 0.260695, 0.0017844, 1.0053e-09, 0.002088, 2.51431e-05, 0.401073, 8.06809e-05, 7.88031e-07, 2.91545e-10, 3.15488e-12, 2.80623e-10, 7.02126e-11, 7.47161e-08, 0.334253, 0.141536, 1173, 1173, 0.0585526, 0.0842368, 6.30011e-18, 0.0722756, 0.369898, 0.415029, 8.58067e-06, 0.254832, 0.00193682, 1.0175e-09, 0.00214927, 2.81068e-05, 0.405449, 8.52803e-05, 7.53435e-07, 2.93523e-10, 3.18909e-12, 2.82444e-10, 7.18377e-11, 8.13398e-08, 0.335518, 
0.00894737, 1.00013e+06, 1.00013e+06, 1.0001e+06, 0.162609, 1173, 1173, 0.0523626, 0.0853902, 4.86232e-18, 0.0649701, 0.401525, 0.395744, 8.16459e-06, 0.261143, 0.00167341, 8.95e-10, 0.00201576, 2.46186e-05, 0.40506, 7.67682e-05, 8.55146e-07, 3.04916e-10, 2.94075e-12, 2.52402e-10, 6.27935e-11, 7.42257e-08, 0.330005, 0.160741, 1173, 1173, 0.0524318, 0.086634, 5.23642e-18, 0.0683912, 0.391797, 0.400737, 8.33361e-06, 0.258383, 0.00173944, 8.9765e-10, 0.00204454, 2.59628e-05, 0.407181, 7.88249e-05, 8.37403e-07, 3.06087e-10, 2.94284e-12, 2.52331e-10, 6.32492e-11, 7.73244e-08, 0.330546, 0.140479, 1173, 1173, 0.0527066, 0.0893361, 6.13791e-18, 0.075798, 0.371146, 0.411005, 8.68768e-06, 0.252405, 0.00189021, 9.05656e-10, 0.0021046, 2.9091e-05, 0.411722, 8.33681e-05, 8.00497e-07, 3.08323e-10, 2.95758e-12, 2.52903e-10, 6.44511e-11, 8.43286e-08, 0.331765, 
0.01, 1.00012e+06, 1.00012e+06, 1.00009e+06, 0.162101, 1173, 1173, 0.0474955, 0.0897585, 4.79088e-18, 0.0678651, 0.40179, 0.393083, 8.26494e-06, 0.258843, 0.00164591, 8.0439e-10, 0.00198391, 2.54526e-05, 0.410432, 7.5531e-05, 8.97275e-07, 3.17688e-10, 2.76842e-12, 2.28599e-10, 5.70606e-11, 7.67647e-08, 0.326993, 0.160183, 1173, 1173, 0.047483, 0.0911063, 5.16754e-18, 0.0715334, 0.391787, 0.398082, 8.44123e-06, 0.25602, 0.0017122, 8.05497e-10, 0.00201244, 2.68753e-05, 0.412621, 7.75889e-05, 8.7836e-07, 3.1894e-10, 2.76313e-12, 2.28062e-10, 5.73628e-11, 8.00402e-08, 0.32753, 0.135673, 1173, 1173, 0.0475661, 0.0939946, 6.06977e-18, 0.0794232, 0.370739, 0.408268, 8.80746e-06, 0.249965, 0.00186255, 8.09865e-10, 0.0020715, 3.01599e-05, 0.417248, 8.21026e-05, 8.39204e-07, 3.21262e-10, 2.76096e-12, 2.27566e-10, 5.82008e-11, 8.73784e-08, 0.32874, 
