train_loss,valid_loss,best_valid_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.8001941442489624,0.6865378499031067,0.6865378499031067,1,1784561375,,False,1,173346ee,2026-07-20_10-29-35,2.2849347591400146,2.2849347591400146,15375,Rohan-Laptop,172.22.123.235,2.2849347591400146,1
0.6505163729190826,0.5716670513153076,0.5716670513153076,2,1784561376,,False,2,173346ee,2026-07-20_10-29-36,0.9047942161560059,3.1897289752960205,15375,Rohan-Laptop,172.22.123.235,3.1897289752960205,2
0.5929967343807221,0.5386809885501862,0.5386809885501862,3,1784561377,,False,3,173346ee,2026-07-20_10-29-37,0.9459998607635498,4.13572883605957,15375,Rohan-Laptop,172.22.123.235,4.13572883605957,3
0.5195204555988312,0.44344126582145693,0.44344126582145693,4,1784561378,,False,4,173346ee,2026-07-20_10-29-38,1.0854475498199463,5.221176385879517,15375,Rohan-Laptop,172.22.123.235,5.221176385879517,4
0.42739395797252655,0.4056518077850342,0.4056518077850342,5,1784561379,,False,5,173346ee,2026-07-20_10-29-39,1.1953091621398926,6.416485548019409,15375,Rohan-Laptop,172.22.123.235,6.416485548019409,5
0.38368798792362213,0.38067003786563874,0.38067003786563874,6,1784561380,,False,6,173346ee,2026-07-20_10-29-40,0.9771633148193359,7.393648862838745,15375,Rohan-Laptop,172.22.123.235,7.393648862838745,6
0.35863716900348663,0.38184497952461244,0.38067003786563874,7,1784561381,,False,7,173346ee,2026-07-20_10-29-41,0.9660546779632568,8.359703540802002,15375,Rohan-Laptop,172.22.123.235,8.359703540802002,7
0.3461020588874817,0.365030038356781,0.365030038356781,8,1784561382,,False,8,173346ee,2026-07-20_10-29-42,0.9832873344421387,9.34299087524414,15375,Rohan-Laptop,172.22.123.235,9.34299087524414,8
0.33057672828435897,0.3511341243982315,0.3511341243982315,9,1784561383,,False,9,173346ee,2026-07-20_10-29-43,0.9981632232666016,10.341154098510742,15375,Rohan-Laptop,172.22.123.235,10.341154098510742,9
0.31517754346132276,0.32947138845920565,0.32947138845920565,10,1784561384,,True,10,173346ee,2026-07-20_10-29-44,1.037597417831421,11.378751516342163,15375,Rohan-Laptop,172.22.123.235,11.378751516342163,10
