train_loss,valid_loss,best_valid_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.8212412595748901,0.8293315172195435,0.8293315172195435,1,1784138751,,False,1,157a484f,2026-07-15_13-05-51,7.715646982192993,7.715646982192993,78633,Rohan-Laptop,172.22.123.235,7.715646982192993,1
0.8273745775222778,0.7974793314933777,0.7974793314933777,2,1784138751,,False,2,157a484f,2026-07-15_13-05-51,0.03198885917663574,7.747635841369629,78633,Rohan-Laptop,172.22.123.235,7.747635841369629,2
0.7224527597427368,0.7476771473884583,0.7476771473884583,3,1784138751,,False,3,157a484f,2026-07-15_13-05-51,0.038299560546875,7.785935401916504,78633,Rohan-Laptop,172.22.123.235,7.785935401916504,3
0.6960979104042053,0.683681309223175,0.683681309223175,4,1784138751,,False,4,157a484f,2026-07-15_13-05-51,0.03595256805419922,7.821887969970703,78633,Rohan-Laptop,172.22.123.235,7.821887969970703,4
0.6836041212081909,0.6237782835960388,0.6237782835960388,5,1784138751,,False,5,157a484f,2026-07-15_13-05-51,0.03730440139770508,7.859192371368408,78633,Rohan-Laptop,172.22.123.235,7.859192371368408,5
0.6613488793373108,0.6139311790466309,0.6139311790466309,6,1784138751,,False,6,157a484f,2026-07-15_13-05-51,0.03282761573791504,7.892019987106323,78633,Rohan-Laptop,172.22.123.235,7.892019987106323,6
0.6114358305931091,0.6179308891296387,0.6139311790466309,7,1784138751,,False,7,157a484f,2026-07-15_13-05-51,0.03600120544433594,7.928021192550659,78633,Rohan-Laptop,172.22.123.235,7.928021192550659,7
0.6731956005096436,0.5904118418693542,0.5904118418693542,8,1784138751,,False,8,157a484f,2026-07-15_13-05-51,0.03527259826660156,7.963293790817261,78633,Rohan-Laptop,172.22.123.235,7.963293790817261,8
0.611972451210022,0.5759695172309875,0.5759695172309875,9,1784138751,,False,9,157a484f,2026-07-15_13-05-51,0.030138015747070312,7.993431806564331,78633,Rohan-Laptop,172.22.123.235,7.993431806564331,9
0.5780941247940063,0.576941192150116,0.5759695172309875,10,1784138751,,True,10,157a484f,2026-07-15_13-05-51,0.044719696044921875,8.038151502609253,78633,Rohan-Laptop,172.22.123.235,8.038151502609253,10
